vzs_sifra,vzs_naziv,n_zanesljivih_tednov,popolna_vrsta,v_agregatu,opomba
1004P,Pregled ob neplodnosti - par - prvi,110,True,True,
1010P,Dermatološki pregled - prvi,110,True,True,
1011P,Venerološki pregled - prvi,110,True,True,
1012P,Flebološki pregled - prvi,110,True,True,
1018P,Kardiološki pregled - prvi,110,True,True,
1026P,Nevrološki pregled - prvi,110,True,True,
1033P,Ortopedski pregled - prvi,110,True,True,
1040P,Psihiatrična obravnava - prva,110,True,True,
1042P,Pregled ob odvajanju odvisnosti od prepovedanih drog - prvi,110,True,True,
1044P,Pregled ob odvajanju odvisnosti od alkohola - prvi,110,True,True,
1045P,Revmatološki pregled - prvi,110,True,True,
1050P,Urološki pregled - prvi,110,True,True,
1053P,Diabetološki pregled - prvi,110,True,True,
1056P,Alergološki pregled - prvi,110,True,True,
1057P,Kardiološki pregled otroka - prvi,110,True,True,
1062P,Alergološki pregled otroka - prvi,110,True,True,
1063P,Revmatološki pregled otroka - prvi,110,True,True,
1067P,Nevrološki pregled otroka - prvi,110,True,True,
1149,Operacija karpalnega kanala,110,True,True,
1151,Fenestracija hrbtenice,110,True,True,
1152,Operacija tumorja na hrbtenici,110,True,True,
1164,Druge nevrokirurške operacije,110,True,True,
1165,"Operacija prirojenih anomalij hrbtenjače in hrbteničnega kanala (meningokela, mielomeningokela,…)",0,False,False,
1176,Operacije na ščitnici in obščitnici,110,True,True,
1195,Operacija sive mrene (katarakte),110,True,True,
1209,Biopsija zunanjega ušesa,6,False,False,
1214,Kateterizacija Evstahijeve tube (ušesne troblje),92,False,False,
1215,Miringotomija,110,True,True,
1220,Miringoplastika,110,True,True,
1228,Biopsija nosne votline in/ali zgornjega žrela,39,False,False,
1231,Aspiracija in lavaža nosnih sinusov,0,False,False,
1232,Biopsija nosnih sinusov,5,False,False,
1234,Biopsija jezika,18,False,False,
1236,Biopsija žlez slinavk in izvodil,106,False,False,
1238,Biopsija ustne votline,35,False,False,
1239,Biopsija mandljev/žrelnice,0,False,False,
1240,Incizija in drenaža peritonzilarnega abscesa,0,False,False,
1241,Tonzilektomija/adenoidektomija,110,True,True,
1244,Biopsija žrela,1,False,False,
1246,Incizija in drenaža abscesov ali cist v ustni votlini,0,False,False,
1264,Drugi oralni operativni posegi,110,True,True,blok-izpad 25. 7. – 22. 8. 2024 (raven ~590 namesto ~1.860)
1265,Posegi v grlu,110,True,True,
1285,Aortokoronarni obvodi,110,True,True,
1286,Menjava srčne zaklopke,110,True,True,
1287,Aortokoronarni obvodi z menjavo srčne zaklopke,110,True,True,
1288,Operacije prirojenih srčnih napak,110,True,True,
1289,Operacija torakalne anevrizme,110,True,True,
1290,Operacija abdominalne aorte (anevrizma ali okluzija),110,True,True,
1291,Femoro - poplitealni obvod (bypass),110,True,True,
1292,Tea ACI,110,True,True,
1293,Druge žilne operacije (razen arterije),110,True,True,
1294,Revizije po žilnih operacijah (razen arterije),0,False,False,
1298,Ostale operacije na srcu,92,False,False,
1299,"Revizije po operacijah na srcu (krvavitve, tamponade,…)",0,False,False,
1301,PTCA (koronarna angiografija),110,True,True,
1303,Transkateterska embolizacija krvnih žil,110,True,True,
1304,Biopsija periferne arterije,0,False,False,
1305,Vstavitev venske valvule,108,False,False,
1306,Odstranitev venske valvule,0,False,False,
1308,Druge operacije na arterijah,110,True,True,
1309,Revizije po operacijah na arterijah,0,False,False,
1310,Sklerozacija krčnih žil,110,True,True,
1311,Operacija krčnih žil,110,True,True,
1327,Operacija žolčnih kamnov,110,True,True,
1342,Operacija kile,110,True,True,
1396,Ambulantna histeroskopija,110,True,True,
1397,"Kolposkopija, vaginoskopija",110,True,True,
1400,"Odvzem tkivnega vzorca za histopatološko diagnostiko predrakavih/rakavih sprememb materničnega vratu (biopsija, odščip)",110,True,True,
1402,"Biopsija vulve, perineja in/ali nožnice",110,True,True,
1442,Poseg na žrelu,110,True,True,
1443,Rekonstrukcija oblike obraza,0,False,False,
1444,Korekcija shize,0,False,False,
1446,Plastični poseg na ožilju,110,True,True,
1471,Elektroencefalografija (EEG),110,True,True,
1472,Nevromišična elektrodiagnostika (tudi elektromiografija EMG),110,True,True,
1604,Ortopedska operacija rame,110,True,True,
1606,"Operacija Dupuytrenove kontrakture (CD, fibromatoza dlančne fascije)",110,True,True,
1607,Operacija nožnega palca (hallux),110,True,True,
1608,Endoproteza gležnja,110,True,True,
1611,Operacija discus hernie,110,True,True,
1624,Endoproteza kolka delna (PEP)/totalna (TEP),110,True,True,
1625,Endoproteza rame delna (PEP)/totalna (TEP),110,True,True,
1626,Endoproteza kolena,110,True,True,
1640,Osteosinteza rame,11,False,False,
1641,Osteosinteza cervikalne hrbtenice,110,True,True,
1642,Osteosinteza torakolumbalne hrbtenice s kletko (cage),110,True,True,
1643,Osteosinteza hrbtenice (drugi posegi),110,True,True,
1662,Poseg na uhlju,61,False,False,
1664,Poseg na jeziku,110,True,True,
1669,CT glave brez KS,110,True,True,
1670,CT orbit brez KS,110,True,True,
1671,CT skeleta glave,105,False,False,
1672,CT srednjega ušesa in temporalke,110,True,True,
1673,CT obraznih kosti,110,True,True,
1674,CT obnosnih votlin brez KS,110,True,True,
1675,CT vratu brez KS,110,True,True,
1676,CT glave s KS,110,True,True,
1677,CT orbit s KS,88,False,False,
1678,CT skeleta glave s KS,51,False,False,
1679,CT obnosnih votlin s KS,110,True,True,
1680,CT vratu s KS,110,True,True,
1681,CT skeleta okončin,110,True,True,
1682,CT skeleta hrbtenice,101,False,False,
1683,CT cervikalne hrbtenice,110,True,True,
1684,CT torakalne hrbtenice,110,True,True,
1685,CT lumbo - sakralne hrbtenice,110,True,True,
1687,CT skeleta medenice,110,True,True,
1688,CT kolkov,110,True,True,
1689,CT SIS (sakroiliakalnega sklepa),105,False,False,
1691,CT kolena,110,True,True,
1692,CT rame,110,True,True,
1693,CT gležnja,110,True,True,
1695,CT po lSR brez KS,0,False,False,
1697,CT skeleta drugo - brez KS,110,True,True,
1698,CT - dentalni,22,False,False,
1699,CT pelvimetrija,0,False,False,
1700,CT skeleta okončin s KS,53,False,False,
1701,CT skeleta hrbtenice s KS,9,False,False,
1702,CT cervikalne hrbtenice s KS,80,False,False,
1703,CT torakalne hrbtenice s KS,86,False,False,
1704,CT lumbo - sakralne hrbtenice s KS,105,False,False,
1705,CT po mielografiji s KS,46,False,False,
1706,CT skeleta medenice s KS,54,False,False,
1707,CT artrografija rame s KS,110,True,True,
1708,CT artrografija - drugo s KS,99,False,False,
1709,CT po lSR s KS,0,False,False,
1710,CT hrbtenice z intratekalno aplik. KS,38,False,False,
1712,CT skeleta drugo s KS,78,False,False,
