datum,datoteka,listi,tb01_stolpcev,tb01_vrstic,tb01_glava_id
2024-04-04,Tedensko-porocilo-Izpis-stanja-CD-in-cakajocih-po-VZS-na-dan-04.04.2024.xlsx,Vsebina|Tb 01|Tb 02|Tb 03|Tb 04|Tb 05,23,374,0
2024-04-11,Tedensko-porocilo-Izpis-stanja-CD-in-cakajocih-po-VZS-na-dan-11.04.2024.xlsx,Vsebina|Tb 01|Tb 02|Tb 03|Tb 04|Tb 05,23,374,0
2024-04-18,Tedensko-porocilo-Izpis-stanja-CD-in-cakajocih-po-VZS-na-dan-18.04.2024.xlsx,Vsebina|Tb 01|Tb 02|Tb 03|Tb 04|Tb 05,25,374,1
2024-04-25,Tedensko-porocilo-Izpis-stanja-CD-in-cakajocih-po-VZS-na-dan-25.04.2024.xlsx,Vsebina|Tb 01|Tb 02|Tb 03|Tb 04|Tb 05,25,375,1
2024-05-03,Tedensko-porocilo-Izpis-stanja-CD-in-cakajocih-po-VZS-na-dan-03.05.2024.xlsx,Vsebina|Tb 01|Tb 02|Tb 03|Tb 04|Tb 05,23,375,0
2024-05-09,Tedensko-porocilo-Izpis-stanja-CD-in-cakajocih-po-VZS-na-dan-09.05.2024.xlsx,Vsebina|Tb 01|Tb 02|Tb 03|Tb 04|Tb 05,25,375,1
2024-05-16,Tedensko-porocilo-Izpis-stanja-CD-in-cakajocih-po-VZS-na-dan-16.05.2024.xlsx,Vsebina|Tb 01|Tb 02|Tb 03|Tb 04|Tb 05,25,375,1
2024-05-23,Tedensko-porocilo-Izpis-stanja-CD-in-cakajocih-po-VZS-na-dan-23.05.2024.xlsx,Vsebina|Tb 01|Tb 02|Tb 03|Tb 04|Tb 05,25,375,1
2024-05-30,Tedensko-porocilo-Izpis-stanja-CD-in-cakajocih-po-VZS-na-dan-30.05.2024.xlsx,Vsebina|Tb 01|Tb 02|Tb 03|Tb 04|Tb 05,25,375,1
2024-06-06,Tedensko-porocilo-Izpis-stanja-CD-in-cakajocih-po-VZS-na-dan-06.06.2024.xlsx,Vsebina|Tb 01|Tb 02|Tb 03|Tb 04|Tb 05,25,375,1
2024-06-13,Tedensko-porocilo-Izpis-stanja-CD-in-cakajocih-po-VZS-na-dan-13.06.2024.xlsx,Vsebina|Tb 01|Tb 02|Tb 03|Tb 04|Tb 05,25,375,1
2024-06-27,Tedensko-porocilo-Izpis-stanja-CD-in-cakajocih-po-VZS-na-dan-27.06.2024.xlsx,Vsebina|Tb 01|Tb 02|Tb 03|Tb 04|Tb 05,25,375,1
