razlicica,vzs,naziv,n_tednov,prva,zadnja,vrh,dno,rast_prva_zadnja_pct,rast_prva_vrh_pct,naklon_na_teden,R2,p_naklon,povprecje,mediana,sd_razlik
izhodiscna,1010P,Dermatološki pregled - prvi,112,24345.0,29233.0,31872.0,24345.0,20.078,30.9181,47.4954,0.6371,0.0,29198.0536,29360.5,523.4051
izhodiscna,1018P,Kardiološki pregled - prvi,112,19129.0,16912.0,19129.0,15744.0,-11.5897,0.0,-16.6155,0.3014,0.0,17390.9554,17173.0,217.5155
izhodiscna,1941,UZ vratnih žil,112,17932.0,28688.0,29662.0,17932.0,59.9822,65.4138,117.2158,0.8767,0.0,24657.7768,26579.5,409.406
izhodiscna,1755,MR glave brez kontrasta,112,4958.0,7884.0,8404.0,3160.0,59.0157,69.5038,39.1229,0.6505,0.0,5172.3482,4764.0,142.5163
izhodiscna,1195,Operacija sive mrene (katarakte),112,11198.0,16139.0,16326.0,11189.0,44.124,45.7939,46.5376,0.9613,0.0,14016.1786,14390.0,205.0231
izhodiscna,1626,Endoproteza kolena,112,8603.0,9441.0,9441.0,7833.0,9.7408,9.7408,4.805,0.3549,0.0,8835.8929,8812.0,236.8737
izhodiscna,AGREGAT,Agregat,112,303612.0,351969.0,358335.0,294560.0,15.9272,18.024,588.7282,0.9062,0.0,326859.1161,328922.0,4923.5856
delno_ocisceno,1010P,Dermatološki pregled - prvi,111,24345.0,29233.0,31872.0,24345.0,20.078,30.9181,48.1302,0.6431,0.0,29216.009,29399.0,245.5882
delno_ocisceno,1018P,Kardiološki pregled - prvi,111,19129.0,16912.0,19129.0,15744.0,-11.5897,0.0,-16.9551,0.3059,0.0,17387.7387,17132.0,212.6397
delno_ocisceno,1941,UZ vratnih žil,111,17932.0,28688.0,29662.0,17932.0,59.9822,65.4138,118.5923,0.8774,0.0,24632.5856,26339.0,400.0632
delno_ocisceno,1755,MR glave brez kontrasta,111,4958.0,7884.0,8404.0,3160.0,59.0157,69.5038,39.6362,0.6507,0.0,5177.4144,4766.0,129.2498
delno_ocisceno,1195,Operacija sive mrene (katarakte),111,11198.0,16139.0,16326.0,11189.0,44.124,45.7939,47.2242,0.9658,0.0,14023.2703,14402.0,127.5738
delno_ocisceno,1626,Endoproteza kolena,111,8603.0,9441.0,9441.0,8432.0,9.7408,9.7408,4.9037,0.4151,0.0,8844.9279,8816.0,178.2971
delno_ocisceno,AGREGAT,Agregat,111,304210.0,352457.0,358869.0,295149.0,15.8598,17.9675,596.595,0.9206,0.0,327630.6577,329919.0,2409.5399
ocisceno,1010P,Dermatološki pregled - prvi,110,24345.0,29233.0,31872.0,24345.0,20.078,30.9181,48.5897,0.6471,0.0,29194.0727,29360.5,246.7103
ocisceno,1018P,Kardiološki pregled - prvi,110,19129.0,16912.0,19129.0,15744.0,-11.5897,0.0,-17.3279,0.3138,0.0,17378.7909,17101.0,213.1324
ocisceno,1941,UZ vratnih žil,110,17932.0,28688.0,29662.0,17932.0,59.9822,65.4138,120.0905,0.8786,0.0,24610.0182,26326.0,340.8532
ocisceno,1755,MR glave brez kontrasta,110,4958.0,7884.0,8404.0,3160.0,59.0157,69.5038,40.2159,0.654,0.0,5185.9182,4768.5,126.0293
ocisceno,1195,Operacija sive mrene (katarakte),110,11198.0,16139.0,16326.0,11189.0,44.124,45.7939,47.849,0.9671,0.0,14016.3818,14390.0,128.1628
ocisceno,1626,Endoproteza kolena,110,8603.0,9441.0,9441.0,8432.0,9.7408,9.7408,4.9433,0.4155,0.0,8842.4,8812.0,179.0386
ocisceno,AGREGAT,Agregat,110,304210.0,352457.0,358869.0,295149.0,15.8598,17.9675,604.4575,0.9199,0.0,327602.1818,329456.0,2202.9613
