razlicica,vzs,naziv,datum,razlika,z,razvrstitev
izhodiscna,1010P,Dermatološki pregled - prvi,2025-06-11,-3158.0,-6.12,podatkovna: oznacen nezanesljiv teden
izhodiscna,1010P,Dermatološki pregled - prvi,2025-06-18,3730.0,7.04,podatkovna: teden ob prazniku
izhodiscna,1018P,Kardiološki pregled - prvi,2024-06-13,571.0,2.72,procesna ali nepojasnjena
izhodiscna,1018P,Kardiološki pregled - prvi,2024-09-12,-649.0,-2.89,podatkovna: par padec-odboj
izhodiscna,1018P,Kardiološki pregled - prvi,2024-09-19,759.0,3.58,procesna ali nepojasnjena
izhodiscna,1018P,Kardiološki pregled - prvi,2024-11-21,-543.0,-2.4,procesna ali nepojasnjena
izhodiscna,1941,UZ vratnih žil,2025-08-20,-1608.0,-4.16,podatkovna: oznacen nezanesljiv teden
izhodiscna,1941,UZ vratnih žil,2025-08-27,1520.0,3.48,procesna ali nepojasnjena
izhodiscna,1941,UZ vratnih žil,2026-06-17,-995.0,-2.67,podatkovna: sprememba izmerjena cez vrzel v arhivu
izhodiscna,1755,MR glave brez kontrasta,2025-01-08,-390.0,-2.92,podatkovna: sprememba izmerjena cez vrzel v arhivu
izhodiscna,1755,MR glave brez kontrasta,2025-06-11,-438.0,-3.26,podatkovna: oznacen nezanesljiv teden
izhodiscna,1755,MR glave brez kontrasta,2025-06-18,471.0,3.12,podatkovna: teden ob prazniku
izhodiscna,1755,MR glave brez kontrasta,2025-08-20,-403.0,-3.01,podatkovna: oznacen nezanesljiv teden
izhodiscna,1195,Operacija sive mrene (katarakte),2025-06-11,-1298.0,-6.55,podatkovna: oznacen nezanesljiv teden
izhodiscna,1195,Operacija sive mrene (katarakte),2025-06-18,1097.0,5.13,podatkovna: teden ob prazniku
izhodiscna,1626,Endoproteza kolena,2025-04-16,-745.0,-3.18,podatkovna: teden ob prazniku
izhodiscna,1626,Endoproteza kolena,2025-06-11,-1146.0,-4.87,podatkovna: oznacen nezanesljiv teden
izhodiscna,1626,Endoproteza kolena,2025-06-18,1181.0,4.95,podatkovna: teden ob prazniku
izhodiscna,1626,Endoproteza kolena,2026-04-29,733.0,3.06,podatkovna: sprememba izmerjena cez vrzel v arhivu
izhodiscna,AGREGAT,Agregat,2024-08-29,12726.0,2.5,procesna ali nepojasnjena
izhodiscna,AGREGAT,Agregat,2025-06-11,-32669.0,-6.72,podatkovna: oznacen nezanesljiv teden
izhodiscna,AGREGAT,Agregat,2025-06-18,31161.0,6.24,podatkovna: teden ob prazniku
delno_ocisceno,1010P,Dermatološki pregled - prvi,2024-10-10,-581.0,-2.55,procesna ali nepojasnjena
