razlicica,vzs,naziv,datum,razlika,z,z_flag,if_flag,konsenz
izhodiscna,1010P,Dermatološki pregled - prvi,2024-04-11,181.0,0.2617,False,False,False
izhodiscna,1010P,Dermatološki pregled - prvi,2024-04-18,303.0,0.4948,False,False,False
izhodiscna,1010P,Dermatološki pregled - prvi,2024-04-25,242.0,0.3782,False,False,False
izhodiscna,1010P,Dermatološki pregled - prvi,2024-05-03,337.0,0.5597,False,False,False
izhodiscna,1010P,Dermatološki pregled - prvi,2024-05-09,90.0,0.0878,False,False,False
izhodiscna,1010P,Dermatološki pregled - prvi,2024-05-16,-44.0,-0.1682,False,False,False
izhodiscna,1010P,Dermatološki pregled - prvi,2024-05-23,41.0,-0.0058,False,False,False
izhodiscna,1010P,Dermatološki pregled - prvi,2024-05-30,126.0,0.1566,False,False,False
izhodiscna,1010P,Dermatološki pregled - prvi,2024-06-06,-120.0,-0.3134,False,False,False
izhodiscna,1010P,Dermatološki pregled - prvi,2024-06-13,560.0,0.9858,False,False,False
izhodiscna,1010P,Dermatološki pregled - prvi,2024-06-20,76.0,0.0611,False,False,False
izhodiscna,1010P,Dermatološki pregled - prvi,2024-06-27,431.0,0.7393,False,False,False
izhodiscna,1010P,Dermatološki pregled - prvi,2024-07-04,304.0,0.4967,False,False,False
izhodiscna,1010P,Dermatološki pregled - prvi,2024-07-11,247.0,0.3878,False,False,False
izhodiscna,1010P,Dermatološki pregled - prvi,2024-07-18,259.0,0.4107,False,False,False
izhodiscna,1010P,Dermatološki pregled - prvi,2024-07-25,74.0,0.0572,False,False,False
izhodiscna,1010P,Dermatološki pregled - prvi,2024-08-01,52.0,0.0152,False,False,False
izhodiscna,1010P,Dermatološki pregled - prvi,2024-08-08,110.0,0.126,False,False,False
izhodiscna,1010P,Dermatološki pregled - prvi,2024-08-16,203.0,0.3037,False,False,False
izhodiscna,1010P,Dermatološki pregled - prvi,2024-08-22,60.0,0.0305,False,False,False
izhodiscna,1010P,Dermatološki pregled - prvi,2024-08-29,179.0,0.2579,False,False,False
izhodiscna,1010P,Dermatološki pregled - prvi,2024-09-05,126.0,0.1566,False,False,False
izhodiscna,1010P,Dermatološki pregled - prvi,2024-09-12,184.0,0.2674,False,False,False
izhodiscna,1010P,Dermatološki pregled - prvi,2024-09-19,67.0,0.0439,False,False,False
izhodiscna,1010P,Dermatološki pregled - prvi,2024-09-26,461.0,0.7966,False,False,False
izhodiscna,1010P,Dermatološki pregled - prvi,2024-10-03,428.0,0.7336,False,False,False
izhodiscna,1010P,Dermatološki pregled - prvi,2024-10-10,-581.0,-1.1942,False,False,False
izhodiscna,1010P,Dermatološki pregled - prvi,2024-10-17,-619.0,-1.2668,False,True,False
izhodiscna,1010P,Dermatološki pregled - prvi,2024-10-24,551.0,0.9686,False,False,False
izhodiscna,1010P,Dermatološki pregled - prvi,2024-10-31,45.0,0.0018,False,False,False
izhodiscna,1010P,Dermatološki pregled - prvi,2024-11-07,-126.0,-0.3249,False,False,False
izhodiscna,1010P,Dermatološki pregled - prvi,2024-11-14,13.0,-0.0593,False,False,False
izhodiscna,1010P,Dermatološki pregled - prvi,2024-11-21,-120.0,-0.3134,False,False,False
izhodiscna,1010P,Dermatološki pregled - prvi,2024-11-28,177.0,0.254,False,False,False
izhodiscna,1010P,Dermatološki pregled - prvi,2024-12-05,-114.0,-0.3019,False,False,False
izhodiscna,1010P,Dermatološki pregled - prvi,2024-12-12,-79.0,-0.2351,False,False,False
izhodiscna,1010P,Dermatološki pregled - prvi,2024-12-19,-96.0,-0.2675,False,False,False
izhodiscna,1010P,Dermatološki pregled - prvi,2025-01-08,-48.0,-0.1758,False,False,False
izhodiscna,1010P,Dermatološki pregled - prvi,2025-01-15,223.0,0.3419,False,False,False
izhodiscna,1010P,Dermatološki pregled - prvi,2025-01-22,-62.0,-0.2026,False,False,False
izhodiscna,1010P,Dermatološki pregled - prvi,2025-01-29,-538.0,-1.112,False,False,False
izhodiscna,1010P,Dermatološki pregled - prvi,2025-02-05,-168.0,-0.4051,False,False,False
izhodiscna,1010P,Dermatološki pregled - prvi,2025-02-12,169.0,0.2388,False,False,False
izhodiscna,1010P,Dermatološki pregled - prvi,2025-02-19,-143.0,-0.3573,False,False,False
izhodiscna,1010P,Dermatološki pregled - prvi,2025-02-26,303.0,0.4948,False,False,False
izhodiscna,1010P,Dermatološki pregled - prvi,2025-03-05,95.0,0.0974,False,False,False
izhodiscna,1010P,Dermatološki pregled - prvi,2025-03-12,289.0,0.468,False,False,False
izhodiscna,1010P,Dermatološki pregled - prvi,2025-03-19,48.0,0.0076,False,False,False
izhodiscna,1010P,Dermatološki pregled - prvi,2025-03-26,0.0,-0.0841,False,False,False
