razlicica,vzs,naziv,horizont,model,n_vse,MAE_vse,RMSE_vse,MASE_vse,MAE_vs_naivni_pct_vse,n_brez_vrzeli,MAE_brez_vrzeli,RMSE_brez_vrzeli,MASE_brez_vrzeli,MAE_vs_naivni_pct_brez_vrzeli,razlika_o_t
delno_ocisceno,1010P,Dermatološki pregled - prvi,1,ar1,59,191.541,245.327,0.979,-5.193,53,170.44,214.39,0.873,-7.093,-1.9
delno_ocisceno,1010P,Dermatološki pregled - prvi,1,lin,59,1184.312,1430.677,6.219,-550.418,53,1126.379,1388.503,5.913,-607.743,-57.325
delno_ocisceno,1010P,Dermatološki pregled - prvi,1,naivni,59,182.085,240.722,0.931,0.0,53,159.151,206.622,0.815,0.0,0.0
delno_ocisceno,1010P,Dermatološki pregled - prvi,4,ar1,56,496.131,621.967,2.526,-9.147,37,427.921,502.353,2.17,-14.088,-4.941
delno_ocisceno,1010P,Dermatološki pregled - prvi,4,lin,56,1393.508,1644.452,7.313,-206.566,37,1105.538,1415.928,5.751,-194.747,11.82
delno_ocisceno,1010P,Dermatološki pregled - prvi,4,naivni,56,454.554,591.91,2.32,0.0,37,375.081,452.455,1.912,0.0,0.0
delno_ocisceno,1018P,Kardiološki pregled - prvi,1,ar1,59,140.301,177.635,0.835,-1.22,53,136.262,173.076,0.81,-0.388,0.832
delno_ocisceno,1018P,Kardiološki pregled - prvi,1,lin,59,833.69,1025.79,4.833,-501.464,53,824.8,1012.381,4.785,-507.651,-6.187
delno_ocisceno,1018P,Kardiološki pregled - prvi,1,naivni,59,138.61,176.306,0.826,0.0,53,135.736,172.648,0.808,0.0,0.0
delno_ocisceno,1018P,Kardiološki pregled - prvi,4,ar1,56,378.824,457.051,2.229,-2.687,37,433.375,518.236,2.552,0.744,3.431
delno_ocisceno,1018P,Kardiološki pregled - prvi,4,lin,56,940.945,1185.956,5.412,-155.06,37,947.364,1184.671,5.445,-116.976,38.084
delno_ocisceno,1018P,Kardiološki pregled - prvi,4,naivni,56,368.911,456.194,2.182,0.0,37,436.622,529.66,2.583,0.0,0.0
delno_ocisceno,1195,Operacija sive mrene (katarakte),1,ar1,59,100.562,133.531,1.003,-4.072,53,97.597,130.219,0.973,-3.702,0.371
delno_ocisceno,1195,Operacija sive mrene (katarakte),1,lin,59,322.391,357.159,3.222,-233.644,53,315.875,351.377,3.162,-235.633,-1.989
delno_ocisceno,1195,Operacija sive mrene (katarakte),1,naivni,59,96.627,133.959,0.966,0.0,53,94.113,131.084,0.941,0.0,0.0
delno_ocisceno,1195,Operacija sive mrene (katarakte),4,ar1,56,166.089,212.899,1.654,15.207,37,166.659,208.072,1.66,17.869,2.662
delno_ocisceno,1195,Operacija sive mrene (katarakte),4,lin,56,375.646,408.727,3.754,-91.778,37,334.844,366.642,3.33,-65.014,26.765
delno_ocisceno,1195,Operacija sive mrene (katarakte),4,naivni,56,195.875,223.692,1.959,0.0,37,202.919,232.854,2.03,0.0,0.0
delno_ocisceno,1626,Endoproteza kolena,1,ar1,59,157.004,200.894,1.467,-22.741,53,150.577,187.99,1.414,-21.488,1.252
delno_ocisceno,1626,Endoproteza kolena,1,lin,59,205.058,222.753,1.887,-60.308,53,205.213,224.1,1.892,-65.57,-5.262
delno_ocisceno,1626,Endoproteza kolena,1,naivni,59,127.915,206.667,1.215,0.0,53,123.943,192.203,1.185,0.0,0.0
delno_ocisceno,1626,Endoproteza kolena,4,ar1,56,231.698,285.063,2.127,-12.241,37,212.717,264.98,1.956,-13.621,-1.38
delno_ocisceno,1626,Endoproteza kolena,4,lin,56,214.848,236.992,1.971,-4.079,37,206.308,229.71,1.898,-10.198,-6.119
delno_ocisceno,1626,Endoproteza kolena,4,naivni,56,206.429,258.431,1.918,0.0,37,187.216,228.971,1.752,0.0,0.0
delno_ocisceno,1755,MR glave brez kontrasta,1,ar1,59,117.378,140.293,1.151,-0.411,53,120.594,144.417,1.184,-0.164,0.247
delno_ocisceno,1755,MR glave brez kontrasta,1,lin,59,1148.833,1233.427,11.017,-882.763,53,1123.15,1212.2,10.78,-832.878,49.885
delno_ocisceno,1755,MR glave brez kontrasta,1,naivni,59,116.898,140.57,1.143,0.0,53,120.396,144.306,1.179,0.0,0.0
