razlicica,vzs,naziv,horizont,model,n,model_boljsi_na_n,mediana_razlike,wilcoxon_p,razlocljivo_p05
izhodiscna,1010P,Dermatološki pregled - prvi,1,ar1,60,30,0.3919,0.6694,False
izhodiscna,1010P,Dermatološki pregled - prvi,1,lin,60,7,-830.6631,0.0,True
izhodiscna,1010P,Dermatološki pregled - prvi,4,ar1,57,33,16.6026,0.7059,False
izhodiscna,1010P,Dermatološki pregled - prvi,4,lin,57,8,-900.3135,0.0,True
izhodiscna,1018P,Kardiološki pregled - prvi,1,ar1,60,35,0.946,0.8195,False
izhodiscna,1018P,Kardiološki pregled - prvi,1,lin,60,5,-528.7988,0.0,True
izhodiscna,1018P,Kardiološki pregled - prvi,4,ar1,57,34,4.8943,0.784,False
izhodiscna,1018P,Kardiološki pregled - prvi,4,lin,57,13,-334.2593,0.0,True
izhodiscna,1941,UZ vratnih žil,1,ar1,60,32,44.2994,0.8598,False
izhodiscna,1941,UZ vratnih žil,1,lin,60,3,-1272.0673,0.0,True
izhodiscna,1941,UZ vratnih žil,4,ar1,57,24,-239.7843,0.1859,False
izhodiscna,1941,UZ vratnih žil,4,lin,57,5,-1424.3534,0.0,True
izhodiscna,1755,MR glave brez kontrasta,1,ar1,60,28,-14.786,0.7628,False
izhodiscna,1755,MR glave brez kontrasta,1,lin,60,2,-1077.7843,0.0,True
izhodiscna,1755,MR glave brez kontrasta,4,ar1,57,30,26.3399,0.5918,False
izhodiscna,1755,MR glave brez kontrasta,4,lin,57,4,-1075.0247,0.0,True
izhodiscna,1195,Operacija sive mrene (katarakte),1,ar1,60,33,5.136,0.3536,False
izhodiscna,1195,Operacija sive mrene (katarakte),1,lin,60,10,-216.2858,0.0,True
izhodiscna,1195,Operacija sive mrene (katarakte),4,ar1,57,41,36.3883,0.4721,False
izhodiscna,1195,Operacija sive mrene (katarakte),4,lin,57,18,-161.6521,0.0001,True
izhodiscna,1626,Endoproteza kolena,1,ar1,60,24,-41.3537,0.0234,True
izhodiscna,1626,Endoproteza kolena,1,lin,60,18,-122.4292,0.0039,True
izhodiscna,1626,Endoproteza kolena,4,ar1,57,29,7.2632,0.4385,False
izhodiscna,1626,Endoproteza kolena,4,lin,57,29,13.6585,0.7476,False
izhodiscna,AGREGAT,Agregat,1,ar1,60,22,-444.2591,0.0007,True
izhodiscna,AGREGAT,Agregat,1,lin,60,12,-3637.5631,0.0,True
