razlicica,vzs,naziv,horizont,model,izvor,cilj,y_true,y_pred,cez_vrzel,mase_scale,ae,se,ase
izhodiscna,1010P,Dermatološki pregled - prvi,1,naivni,2025-04-09,2025-04-16,29052.0,28616.0,False,199.3529,436.0,190096.0,2.1871
izhodiscna,1010P,Dermatološki pregled - prvi,1,lin,2025-04-09,2025-04-16,29052.0,29422.638,False,199.3529,370.638,137372.5338,1.8592
izhodiscna,1010P,Dermatološki pregled - prvi,1,ar1,2025-04-09,2025-04-16,29052.0,28624.6838,False,199.3529,427.3162,182599.1071,2.1435
izhodiscna,1010P,Dermatološki pregled - prvi,1,naivni,2025-04-16,2025-04-23,29251.0,29052.0,False,203.9038,199.0,39601.0,0.976
izhodiscna,1010P,Dermatološki pregled - prvi,1,lin,2025-04-16,2025-04-23,29251.0,29466.3578,False,203.9038,215.3578,46378.9669,1.0562
izhodiscna,1010P,Dermatološki pregled - prvi,1,ar1,2025-04-16,2025-04-23,29251.0,29047.3906,False,203.9038,203.6094,41456.8009,0.9986
izhodiscna,1010P,Dermatološki pregled - prvi,1,naivni,2025-04-23,2025-04-30,29477.0,29251.0,False,203.8113,226.0,51076.0,1.1089
izhodiscna,1010P,Dermatološki pregled - prvi,1,lin,2025-04-23,2025-04-30,29477.0,29521.3208,False,203.8113,44.3208,1964.3293,0.2175
izhodiscna,1010P,Dermatološki pregled - prvi,1,ar1,2025-04-23,2025-04-30,29477.0,29243.4171,False,203.8113,233.5829,54560.9864,1.1461
izhodiscna,1010P,Dermatološki pregled - prvi,1,naivni,2025-04-30,2025-05-07,29399.0,29477.0,False,204.2222,78.0,6084.0,0.3819
izhodiscna,1010P,Dermatološki pregled - prvi,1,lin,2025-04-30,2025-05-07,29399.0,29588.5778,False,204.2222,189.5778,35939.7338,0.9283
izhodiscna,1010P,Dermatološki pregled - prvi,1,ar1,2025-04-30,2025-05-07,29399.0,29468.0989,False,204.2222,69.0989,4774.6519,0.3384
izhodiscna,1010P,Dermatološki pregled - prvi,1,naivni,2025-05-07,2025-05-14,29670.0,29399.0,False,201.9273,271.0,73441.0,1.3421
izhodiscna,1010P,Dermatološki pregled - prvi,1,lin,2025-05-07,2025-05-14,29670.0,29645.4305,False,201.9273,24.5695,603.6594,0.1217
izhodiscna,1010P,Dermatološki pregled - prvi,1,ar1,2025-05-07,2025-05-14,29670.0,29390.8264,False,201.9273,279.1736,77937.9075,1.3825
izhodiscna,1010P,Dermatološki pregled - prvi,1,naivni,2025-05-14,2025-05-21,29970.0,29670.0,False,203.1607,300.0,90000.0,1.4767
izhodiscna,1010P,Dermatološki pregled - prvi,1,lin,2025-05-14,2025-05-21,29970.0,29717.1924,False,203.1607,252.8076,63911.7049,1.2444
izhodiscna,1010P,Dermatološki pregled - prvi,1,ar1,2025-05-14,2025-05-21,29970.0,29661.1932,False,203.1607,308.8068,95361.6573,1.52
izhodiscna,1010P,Dermatološki pregled - prvi,1,naivni,2025-05-21,2025-05-28,30268.0,29970.0,False,204.8596,298.0,88804.0,1.4547
izhodiscna,1010P,Dermatološki pregled - prvi,1,lin,2025-05-21,2025-05-28,30268.0,29804.7096,False,204.8596,463.2904,214637.9772,2.2615
izhodiscna,1010P,Dermatološki pregled - prvi,1,ar1,2025-05-21,2025-05-28,30268.0,29964.3048,False,204.8596,303.6952,92230.7699,1.4825
izhodiscna,1010P,Dermatološki pregled - prvi,1,naivni,2025-05-28,2025-06-04,30363.0,30268.0,False,206.4655,95.0,9025.0,0.4601
izhodiscna,1010P,Dermatološki pregled - prvi,1,lin,2025-05-28,2025-06-04,30363.0,29906.6447,False,206.4655,456.3553,208260.2034,2.2103
izhodiscna,1010P,Dermatološki pregled - prvi,1,ar1,2025-05-28,2025-06-04,30363.0,30269.4317,False,206.4655,93.5683,8755.0259,0.4532
izhodiscna,1010P,Dermatološki pregled - prvi,1,naivni,2025-06-04,2025-06-11,27205.0,30363.0,False,204.5763,3158.0,9972964.0,15.4368
izhodiscna,1010P,Dermatološki pregled - prvi,1,lin,2025-06-04,2025-06-11,27205.0,30008.3791,False,204.5763,2803.3791,7858934.3561,13.7033
izhodiscna,1010P,Dermatološki pregled - prvi,1,ar1,2025-06-04,2025-06-11,27205.0,30367.3922,False,204.5763,3162.3922,10000724.729,15.4583
izhodiscna,1010P,Dermatološki pregled - prvi,1,naivni,2025-06-11,2025-06-18,30935.0,27205.0,False,253.8,3730.0,13912900.0,14.6966
izhodiscna,1010P,Dermatološki pregled - prvi,1,lin,2025-06-11,2025-06-18,30935.0,29896.6098,False,253.8,1038.3902,1078254.1326,4.0914
izhodiscna,1010P,Dermatološki pregled - prvi,1,ar1,2025-06-11,2025-06-18,30935.0,27314.5744,False,253.8,3620.4256,13107481.2387,14.2649
