razlicica,vzs,naziv,n,MAE_AR,MAE_ARX,izboljsava_pct
izhodiscna,1010P,Dermatološki pregled - prvi,59,9.1987,10.0485,-9.2387
izhodiscna,1018P,Kardiološki pregled - prvi,59,9.7071,9.2946,4.2495
izhodiscna,1941,UZ vratnih žil,59,10.7758,10.9312,-1.4419
izhodiscna,1755,MR glave brez kontrasta,59,9.0076,9.4346,-4.7409
izhodiscna,1195,Operacija sive mrene (katarakte),59,6.8687,7.4345,-8.2371
izhodiscna,1626,Endoproteza kolena,59,20.1424,20.9725,-4.1212
izhodiscna,AGREGAT,Agregat,59,5.6694,5.9291,-4.58
delno_ocisceno,1010P,Dermatološki pregled - prvi,58,9.1089,9.1227,-0.1508
delno_ocisceno,1018P,Kardiološki pregled - prvi,58,9.6413,9.1856,4.7271
delno_ocisceno,1941,UZ vratnih žil,58,10.9269,11.0397,-1.033
delno_ocisceno,1755,MR glave brez kontrasta,58,9.1642,9.6042,-4.8017
delno_ocisceno,1195,Operacija sive mrene (katarakte),58,6.9836,7.207,-3.198
delno_ocisceno,1626,Endoproteza kolena,58,20.1379,21.2392,-5.4686
delno_ocisceno,AGREGAT,Agregat,58,5.6912,5.8328,-2.4867
ocisceno,1010P,Dermatološki pregled - prvi,57,9.1529,9.2288,-0.8289
ocisceno,1018P,Kardiološki pregled - prvi,57,9.5792,9.1327,4.6611
ocisceno,1941,UZ vratnih žil,57,10.89,11.0892,-1.8287
ocisceno,1755,MR glave brez kontrasta,57,9.0988,9.561,-5.0793
ocisceno,1195,Operacija sive mrene (katarakte),57,7.1106,7.3916,-3.9513
ocisceno,1626,Endoproteza kolena,57,20.4948,21.6047,-5.415
ocisceno,AGREGAT,Agregat,57,5.7089,5.8303,-2.1267
