razlicica,vzs,naziv,zamik_tednov,r,p,n,meja_2sqrt_n,znacilna_p05,p_bonferroni,p_bh,n_testov
izhodiscna,1010P,Dermatološki pregled - prvi,0,0.1451,0.1287,111,0.1898,False,1.0,0.7371,63.0
izhodiscna,1010P,Dermatološki pregled - prvi,1,0.1246,0.1946,110,0.1907,False,1.0,0.7664,63.0
izhodiscna,1010P,Dermatološki pregled - prvi,2,-0.1237,0.2001,109,0.1916,False,1.0,0.7003,63.0
izhodiscna,1010P,Dermatološki pregled - prvi,3,-0.1715,0.0759,108,0.1925,False,1.0,0.7973,63.0
izhodiscna,1010P,Dermatološki pregled - prvi,4,0.1326,0.1734,107,0.1933,False,1.0,0.8401,63.0
izhodiscna,1010P,Dermatološki pregled - prvi,5,0.0413,0.6742,106,0.1943,False,1.0,1.0,63.0
izhodiscna,1010P,Dermatološki pregled - prvi,6,0.0136,0.8908,105,0.1952,False,1.0,0.9846,63.0
izhodiscna,1010P,Dermatološki pregled - prvi,7,0.0739,0.4561,104,0.1961,False,1.0,0.927,63.0
izhodiscna,1010P,Dermatološki pregled - prvi,8,-0.154,0.1205,103,0.1971,False,1.0,0.8434,63.0
izhodiscna,1018P,Kardiološki pregled - prvi,0,0.0359,0.7083,111,0.1898,False,1.0,1.0,63.0
izhodiscna,1018P,Kardiološki pregled - prvi,1,-0.025,0.7957,110,0.1907,False,1.0,1.0,63.0
izhodiscna,1018P,Kardiološki pregled - prvi,2,0.0931,0.3355,109,0.1916,False,1.0,0.813,63.0
izhodiscna,1018P,Kardiološki pregled - prvi,3,0.0377,0.6986,108,0.1925,False,1.0,1.0,63.0
izhodiscna,1018P,Kardiološki pregled - prvi,4,-0.0081,0.9342,107,0.1933,False,1.0,0.9648,63.0
izhodiscna,1018P,Kardiološki pregled - prvi,5,0.0677,0.4906,106,0.1943,False,1.0,0.9659,63.0
izhodiscna,1018P,Kardiološki pregled - prvi,6,-0.0266,0.7875,105,0.1952,False,1.0,1.0,63.0
izhodiscna,1018P,Kardiološki pregled - prvi,7,-0.0251,0.8001,104,0.1961,False,1.0,1.0,63.0
izhodiscna,1018P,Kardiološki pregled - prvi,8,-0.0535,0.5917,103,0.1971,False,1.0,0.9809,63.0
izhodiscna,1941,UZ vratnih žil,0,0.0759,0.4283,111,0.1898,False,1.0,0.9303,63.0
izhodiscna,1941,UZ vratnih žil,1,-0.1115,0.246,110,0.1907,False,1.0,0.775,63.0
izhodiscna,1941,UZ vratnih žil,2,0.2384,0.0125,109,0.1916,True,0.79,0.395,63.0
izhodiscna,1941,UZ vratnih žil,3,0.0276,0.7771,108,0.1925,False,1.0,1.0,63.0
izhodiscna,1941,UZ vratnih žil,4,-0.1104,0.2577,107,0.1933,False,1.0,0.6764,63.0
izhodiscna,1941,UZ vratnih žil,5,0.0998,0.309,106,0.1943,False,1.0,0.7786,63.0
izhodiscna,1941,UZ vratnih žil,6,-0.1297,0.1874,105,0.1952,False,1.0,0.7869,63.0
izhodiscna,1941,UZ vratnih žil,7,0.1365,0.1672,104,0.1961,False,1.0,0.8779,63.0
izhodiscna,1941,UZ vratnih žil,8,-0.1134,0.2539,103,0.1971,False,1.0,0.7271,63.0
izhodiscna,1755,MR glave brez kontrasta,0,0.1759,0.0648,111,0.1898,False,1.0,1.0,63.0
izhodiscna,1755,MR glave brez kontrasta,1,-0.0222,0.8177,110,0.1907,False,1.0,0.9907,63.0
izhodiscna,1755,MR glave brez kontrasta,2,0.0481,0.6191,109,0.1916,False,1.0,1.0,63.0
izhodiscna,1755,MR glave brez kontrasta,3,0.1103,0.2556,108,0.1925,False,1.0,0.7001,63.0
izhodiscna,1755,MR glave brez kontrasta,4,0.0081,0.9342,107,0.1933,False,1.0,0.9809,63.0
izhodiscna,1755,MR glave brez kontrasta,5,0.2425,0.0122,106,0.1943,True,0.7713,0.7713,63.0
izhodiscna,1755,MR glave brez kontrasta,6,-0.1267,0.1977,105,0.1952,False,1.0,0.7325,63.0
izhodiscna,1755,MR glave brez kontrasta,7,0.1192,0.2279,104,0.1961,False,1.0,0.7558,63.0
izhodiscna,1755,MR glave brez kontrasta,8,-0.0652,0.5129,103,0.1971,False,1.0,0.9504,63.0
izhodiscna,1195,Operacija sive mrene (katarakte),0,-0.0239,0.8038,111,0.1898,False,1.0,0.9929,63.0
izhodiscna,1195,Operacija sive mrene (katarakte),1,-0.0647,0.5016,110,0.1907,False,1.0,0.9575,63.0
izhodiscna,1195,Operacija sive mrene (katarakte),2,0.1284,0.1834,109,0.1916,False,1.0,0.8253,63.0
izhodiscna,1195,Operacija sive mrene (katarakte),3,-0.0354,0.7162,108,0.1925,False,1.0,1.0,63.0
izhodiscna,1195,Operacija sive mrene (katarakte),4,-0.0176,0.8572,107,0.1933,False,1.0,1.0,63.0
izhodiscna,1195,Operacija sive mrene (katarakte),5,0.0175,0.8583,106,0.1943,False,1.0,0.9832,63.0
izhodiscna,1195,Operacija sive mrene (katarakte),6,0.043,0.6628,105,0.1952,False,1.0,1.0,63.0
izhodiscna,1195,Operacija sive mrene (katarakte),7,-0.0537,0.5882,104,0.1961,False,1.0,1.0,63.0
izhodiscna,1195,Operacija sive mrene (katarakte),8,0.0171,0.8636,103,0.1971,False,1.0,0.9716,63.0
izhodiscna,1626,Endoproteza kolena,0,0.0524,0.5848,111,0.1898,False,1.0,1.0,63.0
izhodiscna,1626,Endoproteza kolena,1,0.0076,0.9368,110,0.1907,False,1.0,0.9519,63.0
izhodiscna,1626,Endoproteza kolena,2,0.0539,0.578,109,0.1916,False,1.0,1.0,63.0
izhodiscna,1626,Endoproteza kolena,3,-0.0814,0.4021,108,0.1925,False,1.0,0.9046,63.0
izhodiscna,1626,Endoproteza kolena,4,0.0731,0.4542,107,0.1933,False,1.0,0.9538,63.0
izhodiscna,1626,Endoproteza kolena,5,-0.041,0.6765,106,0.1943,False,1.0,1.0,63.0
izhodiscna,1626,Endoproteza kolena,6,0.1125,0.253,105,0.1952,False,1.0,0.7591,63.0
izhodiscna,1626,Endoproteza kolena,7,-0.1907,0.0524,104,0.1961,False,1.0,1.0,63.0
izhodiscna,1626,Endoproteza kolena,8,0.1704,0.0852,103,0.1971,False,1.0,0.7672,63.0
izhodiscna,AGREGAT,Agregat,0,0.1482,0.1206,111,0.1898,False,1.0,0.7597,63.0
izhodiscna,AGREGAT,Agregat,1,-0.0107,0.9115,110,0.1907,False,1.0,0.9901,63.0
izhodiscna,AGREGAT,Agregat,2,-0.0328,0.735,109,0.1916,False,1.0,1.0,63.0
izhodiscna,AGREGAT,Agregat,3,-0.0863,0.3746,108,0.1925,False,1.0,0.874,63.0
izhodiscna,AGREGAT,Agregat,4,0.1621,0.0952,107,0.1933,False,1.0,0.7499,63.0
izhodiscna,AGREGAT,Agregat,5,-0.0108,0.9123,106,0.1943,False,1.0,0.9741,63.0
izhodiscna,AGREGAT,Agregat,6,0.0183,0.8526,105,0.1952,False,1.0,1.0,63.0
izhodiscna,AGREGAT,Agregat,7,0.1753,0.0751,104,0.1961,False,1.0,0.9465,63.0
izhodiscna,AGREGAT,Agregat,8,-0.0012,0.9901,103,0.1971,False,1.0,0.9901,63.0
delno_ocisceno,1010P,Dermatološki pregled - prvi,0,0.0735,0.4454,110,0.1907,False,1.0,0.8502,63.0
delno_ocisceno,1010P,Dermatološki pregled - prvi,1,0.1068,0.269,109,0.1916,False,1.0,0.7367,63.0
delno_ocisceno,1010P,Dermatološki pregled - prvi,2,-0.0632,0.5156,108,0.1925,False,1.0,0.8328,63.0
delno_ocisceno,1010P,Dermatološki pregled - prvi,3,-0.1205,0.2163,107,0.1933,False,1.0,0.6813,63.0
delno_ocisceno,1010P,Dermatološki pregled - prvi,4,0.1652,0.0906,106,0.1943,False,1.0,0.8158,63.0
delno_ocisceno,1010P,Dermatološki pregled - prvi,5,0.1311,0.1824,105,0.1952,False,1.0,0.6759,63.0
delno_ocisceno,1010P,Dermatološki pregled - prvi,6,-0.0569,0.5661,104,0.1961,False,1.0,0.8698,63.0
delno_ocisceno,1010P,Dermatološki pregled - prvi,7,0.0107,0.9142,103,0.1971,False,1.0,0.9599,63.0
delno_ocisceno,1010P,Dermatološki pregled - prvi,8,-0.0764,0.4456,102,0.198,False,1.0,0.8257,63.0
delno_ocisceno,1018P,Kardiološki pregled - prvi,0,0.0145,0.8807,110,0.1907,False,1.0,0.9404,63.0
delno_ocisceno,1018P,Kardiološki pregled - prvi,1,-0.0253,0.794,109,0.1916,False,1.0,0.9619,63.0
delno_ocisceno,1018P,Kardiološki pregled - prvi,2,0.1038,0.285,108,0.1925,False,1.0,0.7181,63.0
delno_ocisceno,1018P,Kardiološki pregled - prvi,3,0.044,0.6523,107,0.1933,False,1.0,0.8387,63.0
delno_ocisceno,1018P,Kardiološki pregled - prvi,4,-0.0238,0.8083,106,0.1943,False,1.0,0.943,63.0
delno_ocisceno,1018P,Kardiološki pregled - prvi,5,0.0714,0.4693,105,0.1952,False,1.0,0.7991,63.0
delno_ocisceno,1018P,Kardiološki pregled - prvi,6,0.0173,0.8612,104,0.1961,False,1.0,0.9519,63.0
delno_ocisceno,1018P,Kardiološki pregled - prvi,7,-0.0567,0.5694,103,0.1971,False,1.0,0.8541,63.0
delno_ocisceno,1018P,Kardiološki pregled - prvi,8,-0.0509,0.6115,102,0.198,False,1.0,0.8561,63.0
delno_ocisceno,1941,UZ vratnih žil,0,0.0813,0.3983,110,0.1907,False,1.0,0.8962,63.0
delno_ocisceno,1941,UZ vratnih žil,1,-0.0831,0.3902,109,0.1916,False,1.0,0.9456,63.0
delno_ocisceno,1941,UZ vratnih žil,2,0.1316,0.1747,108,0.1925,False,1.0,0.7339,63.0
delno_ocisceno,1941,UZ vratnih žil,3,0.1329,0.1723,107,0.1933,False,1.0,0.7752,63.0
delno_ocisceno,1941,UZ vratnih žil,4,-0.1391,0.1549,106,0.1943,False,1.0,0.8132,63.0
delno_ocisceno,1941,UZ vratnih žil,5,0.1204,0.2211,105,0.1952,False,1.0,0.6634,63.0
delno_ocisceno,1941,UZ vratnih žil,6,-0.0767,0.439,104,0.1961,False,1.0,0.8642,63.0
delno_ocisceno,1941,UZ vratnih žil,7,-0.0006,0.9953,103,0.1971,False,1.0,0.9953,63.0
delno_ocisceno,1941,UZ vratnih žil,8,-0.0164,0.8699,102,0.198,False,1.0,0.9449,63.0
delno_ocisceno,1755,MR glave brez kontrasta,0,0.1603,0.0943,110,0.1907,False,1.0,0.6604,63.0
delno_ocisceno,1755,MR glave brez kontrasta,1,0.0792,0.4129,109,0.1916,False,1.0,0.8971,63.0
delno_ocisceno,1755,MR glave brez kontrasta,2,-0.025,0.7972,108,0.1925,False,1.0,0.9476,63.0
delno_ocisceno,1755,MR glave brez kontrasta,3,0.1335,0.1705,107,0.1933,False,1.0,0.8261,63.0
delno_ocisceno,1755,MR glave brez kontrasta,4,-0.0227,0.8177,106,0.1943,False,1.0,0.9199,63.0
delno_ocisceno,1755,MR glave brez kontrasta,5,0.2786,0.004,105,0.1952,True,0.2521,0.2521,63.0
delno_ocisceno,1755,MR glave brez kontrasta,6,-0.0528,0.5942,104,0.1961,False,1.0,0.8705,63.0
delno_ocisceno,1755,MR glave brez kontrasta,7,0.0452,0.6503,103,0.1971,False,1.0,0.8536,63.0
delno_ocisceno,1755,MR glave brez kontrasta,8,-0.0418,0.6765,102,0.198,False,1.0,0.8524,63.0
