razdelek,postavka,vrednost,opomba
A1,st. zaznav: podatkovna: par padec-odboj,4,
A1,st. zaznav: podatkovna: prvi teden po vrzeli,5,
A1,st. zaznav: podatkovna: teden ob prazniku,8,
A1,st. zaznav: procesna ali nepojasnjena,9,
A1,procesne: min |Z|,2.2,
A1,procesne: max |Z|,5.58,
A1,konsenznih skupaj,26,
A2,konsenznih pri contamination=0.02,17,
A2,IF-oznacb pri contamination=0.02,21,
A2,konsenznih pri contamination=0.05,26,
A2,IF-oznacb pri contamination=0.05,42,
A2,konsenznih pri contamination=0.1,36,
A2,IF-oznacb pri contamination=0.1,77,
A3,zaznav na vrzeli zaradi nase izlocitve,1,
B1,p lin/endoproteza/h=1,0.00078991,
B1,"prezivi Bonferroni 0,00357",da,
B2,ar1: prezivi Bonferroni,0/14,
B2,lin: prezivi Bonferroni,13/14,
D1,vrstic panela,41767,
D2,zaporednih korakov,109,
D2,korakov nad 8 dni,8,
D2,delez korakov nad 8 dni (%),7.3,
D3,MAE (kontrola brez vrzeli),1452.9216,
D3,mediana abs. napake (za primerjavo),1271.0,
E,rast 1755 MR glave (%),59.0,
E,rast 1772 MR kolena (%),80.9,
E,1772 med modeliranimi,ne,
F,lin: sprememba MAE h=1 min (%),-6.41,
F,lin: sprememba MAE h=1 max (%),10.17,
F,lin: sprememba MAE h=4 min (%),-6.8,
F,lin: sprememba MAE h=4 max (%),9.64,
F,lin: poslabsanje h=1 min (o.t.),-112.8,
F,lin: poslabsanje h=1 max (o.t.),-18.3,
F,lin: poslabsanje h=4 min (o.t.),-44.3,
F,lin: poslabsanje h=4 max (o.t.),-5.7,
