vrsta,vzs,datum,razlika,abs_z,razmik_dni,skupina,vrzel_zaradi_nase_izlocitve
Kardiološki pregled - prvi,1018P,2024-09-12,-649.0,2.95,7,podatkovna: par padec-odboj,False
Dermatološki pregled - prvi,1010P,2024-10-17,-619.0,2.69,7,podatkovna: par padec-odboj,False
Endoproteza kolena,1626,2025-04-09,425.0,2.33,7,podatkovna: par padec-odboj,False
UZ vratnih žil,1941,2025-07-16,-795.0,2.62,7,podatkovna: par padec-odboj,False
MR glave brez kontrasta,1755,2025-01-08,-390.0,3.31,20,podatkovna: prvi teden po vrzeli,False
Dermatološki pregled - prvi,1010P,2025-07-02,735.0,2.8,14,podatkovna: prvi teden po vrzeli,False
MR glave brez kontrasta,1755,2025-08-27,-273.0,2.38,14,podatkovna: prvi teden po vrzeli,True
Endoproteza kolena,1626,2026-04-29,733.0,4.05,14,podatkovna: prvi teden po vrzeli,False
UZ vratnih žil,1941,2026-06-17,-995.0,3.21,14,podatkovna: prvi teden po vrzeli,False
Operacija sive mrene (katarakte),1195,2024-04-18,348.0,2.36,7,podatkovna: teden ob prazniku,False
Dermatološki pregled - prvi,1010P,2024-10-24,551.0,2.05,7,podatkovna: teden ob prazniku,False
Dermatološki pregled - prvi,1010P,2025-01-29,-538.0,2.36,7,podatkovna: teden ob prazniku,False
Endoproteza kolena,1626,2025-04-16,-745.0,4.2,7,podatkovna: teden ob prazniku,False
Endoproteza kolena,1626,2025-05-07,384.0,2.1,7,podatkovna: teden ob prazniku,False
Operacija sive mrene (katarakte),1195,2026-02-18,402.0,2.78,7,podatkovna: teden ob prazniku,False
Operacija sive mrene (katarakte),1195,2026-07-01,-244.0,2.26,7,podatkovna: teden ob prazniku,False
UZ vratnih žil,1941,2026-07-01,894.0,2.33,7,podatkovna: teden ob prazniku,False
Kardiološki pregled - prvi,1018P,2024-06-13,571.0,2.77,7,procesna ali nepojasnjena,False
Agregat,AGREGAT,2024-07-18,-7095.0,3.42,7,procesna ali nepojasnjena,False
Agregat,AGREGAT,2024-08-29,12731.0,5.58,7,procesna ali nepojasnjena,False
Kardiološki pregled - prvi,1018P,2024-09-19,759.0,3.66,7,procesna ali nepojasnjena,False
Dermatološki pregled - prvi,1010P,2024-10-10,-581.0,2.54,7,procesna ali nepojasnjena,False
Kardiološki pregled - prvi,1018P,2024-11-21,-543.0,2.45,7,procesna ali nepojasnjena,False
UZ vratnih žil,1941,2025-07-23,1014.0,2.69,7,procesna ali nepojasnjena,False
MR glave brez kontrasta,1755,2025-10-15,304.0,2.2,7,procesna ali nepojasnjena,False
UZ vratnih žil,1941,2026-05-20,-952.0,3.08,7,procesna ali nepojasnjena,False
