vrsta,vzs,horizont,model,n,MAE_naivni,MAE_model,delta_pct,wilcoxon_p,prezivi_bonferroni
Dermatološki pregled - prvi,1010P,1,ar1,58,185.22413793103448,194.22049870725007,-4.8570131715582665,0.015876537904593604,False
Dermatološki pregled - prvi,1010P,1,lin,58,185.22413793103448,1181.133568873473,-537.6779949237776,2.461650131626648e-10,True
Dermatološki pregled - prvi,1010P,4,ar1,55,459.76363636363635,503.4925417641501,-9.511170945656877,0.01139580331950756,False
Dermatološki pregled - prvi,1010P,4,lin,55,459.76363636363635,1390.868068179406,-202.51806758360948,3.5259838361265184e-08,True
Kardiološki pregled - prvi,1018P,1,ar1,58,137.6206896551724,139.42508544944783,-1.3111370091202001,0.5536566646527459,False
Kardiološki pregled - prvi,1018P,1,lin,58,137.6206896551724,827.8044683293749,-501.5116407304403,4.4757995760721335e-10,True
Kardiološki pregled - prvi,1018P,4,ar1,55,375.6181818181818,388.6164108615186,-3.4604898464762224,0.3187415816464142,False
Kardiološki pregled - prvi,1018P,4,lin,55,375.6181818181818,932.9343776794755,-148.37306148589548,1.047559177271991e-05,True
UZ vratnih žil,1941,1,ar1,58,288.0344827586207,284.51811815401174,1.2208137619257653,0.9598631931564253,False
UZ vratnih žil,1941,1,lin,58,288.0344827586207,1640.8165281994347,-469.65975479209396,4.796327819478128e-11,True
UZ vratnih žil,1941,4,ar1,55,599.2545454545455,705.5084097435199,-17.7310068142043,0.19119453488674298,False
UZ vratnih žil,1941,4,lin,55,599.2545454545455,1845.9574135063626,-208.04228812418444,5.950095517658832e-10,True
MR glave brez kontrasta,1755,1,ar1,58,114.43103448275862,114.48702471840134,-0.04892924012773747,0.9229016233506163,False
MR glave brez kontrasta,1755,1,lin,58,114.43103448275862,1161.0648008173043,-914.641531526347,3.892994595580846e-11,True
MR glave brez kontrasta,1755,4,ar1,55,375.1272727272727,362.5908114881571,3.3419221023233803,0.43585897463301204,False
MR glave brez kontrasta,1755,4,lin,55,375.1272727272727,1341.4330659780762,-257.5941189840742,1.4591208171909493e-10,True
Operacija sive mrene (katarakte),1195,1,ar1,58,98.29310344827586,101.72934178144445,-3.4959098986805603,0.5588521699165678,False
Operacija sive mrene (katarakte),1195,1,lin,58,98.29310344827586,314.21845571485346,-219.67497687180324,4.710585037766251e-09,True
Operacija sive mrene (katarakte),1195,4,ar1,55,197.36363636363637,165.5874077091179,16.100346163044822,0.17735422712727933,False
Operacija sive mrene (katarakte),1195,4,lin,55,197.36363636363637,365.9693211994623,-85.42895132169899,1.047559177271991e-05,True
Endoproteza kolena,1626,1,ar1,58,129.4655172413793,158.22893523604975,-22.217049456530646,0.042116582287409915,False
Endoproteza kolena,1626,1,lin,58,129.4655172413793,204.62869464585458,-58.05652269888888,0.0007899058789772457,True
Endoproteza kolena,1626,4,ar1,55,212.1818181818182,231.7290301073167,-9.212482055719097,0.7565561776949139,False
Endoproteza kolena,1626,4,lin,55,212.1818181818182,213.6276359751627,-0.6814051296824886,0.8537561017820146,False
Agregat,AGREGAT,1,ar1,58,1488.0,1472.4828368223018,1.0428201060281084,0.7479774175834499,False
Agregat,AGREGAT,1,lin,58,1488.0,5158.104445613847,-246.64680414071555,1.3102937094105637e-09,True
Agregat,AGREGAT,4,ar1,55,2987.6,2964.6433214505278,0.7683986661357611,0.7438468585056929,False
Agregat,AGREGAT,4,lin,55,2987.6,5631.759041031143,-88.5044531072146,5.166019165299094e-06,True
