nabor,razlicica,vrsta,vzs,horizont,model,n,delta_pct
fiksni_282,izhodiscna,Dermatološki pregled - prvi,1010P,1,ar1,60,-3.7876473245950004
fiksni_282,izhodiscna,Dermatološki pregled - prvi,1010P,1,lin,60,-322.82400811178275
fiksni_282,izhodiscna,Dermatološki pregled - prvi,1010P,4,ar1,57,-8.142514056042426
fiksni_282,izhodiscna,Dermatološki pregled - prvi,1010P,4,lin,57,-161.33178819604854
fiksni_282,izhodiscna,Kardiološki pregled - prvi,1018P,1,ar1,60,-0.7233303040725669
fiksni_282,izhodiscna,Kardiološki pregled - prvi,1018P,1,lin,60,-471.9434093715095
fiksni_282,izhodiscna,Kardiološki pregled - prvi,1018P,4,ar1,57,-1.9644813696432673
fiksni_282,izhodiscna,Kardiološki pregled - prvi,1018P,4,lin,57,-154.7293603346704
fiksni_282,izhodiscna,UZ vratnih žil,1941,1,ar1,60,1.8359741316539502
fiksni_282,izhodiscna,UZ vratnih žil,1941,1,lin,60,-372.5568936487221
fiksni_282,izhodiscna,UZ vratnih žil,1941,4,ar1,57,-15.820471398916357
fiksni_282,izhodiscna,UZ vratnih žil,1941,4,lin,57,-212.0626892888259
fiksni_282,izhodiscna,MR glave brez kontrasta,1755,1,ar1,60,-0.8703701482108306
fiksni_282,izhodiscna,MR glave brez kontrasta,1755,1,lin,60,-776.862901521824
fiksni_282,izhodiscna,MR glave brez kontrasta,1755,4,ar1,57,1.9874248067740963
fiksni_282,izhodiscna,MR glave brez kontrasta,1755,4,lin,57,-250.28325757400242
fiksni_282,izhodiscna,Operacija sive mrene (katarakte),1195,1,ar1,60,-2.6811229904301292
fiksni_282,izhodiscna,Operacija sive mrene (katarakte),1195,1,lin,60,-140.98699277855394
fiksni_282,izhodiscna,Operacija sive mrene (katarakte),1195,4,ar1,57,-0.44909524462732886
fiksni_282,izhodiscna,Operacija sive mrene (katarakte),1195,4,lin,57,-57.50399869192524
fiksni_282,izhodiscna,Endoproteza kolena,1626,1,ar1,60,-27.411433491308344
fiksni_282,izhodiscna,Endoproteza kolena,1626,1,lin,60,-34.692074071294535
