vzs,naziv,prva,zadnja,rast_pct,mediana,modelirana
1004P,Pregled ob neplodnosti - par - prvi,311.0,159.0,-48.87,240.0,False
1010P,Dermatološki pregled - prvi,24345.0,29233.0,20.08,29360.5,True
1011P,Venerološki pregled - prvi,405.0,318.0,-21.48,393.5,False
1012P,Flebološki pregled - prvi,1273.0,1325.0,4.08,1341.5,False
1018P,Kardiološki pregled - prvi,19129.0,16912.0,-11.59,17101.0,True
1026P,Nevrološki pregled - prvi,12526.0,11121.0,-11.22,12286.0,False
1033P,Ortopedski pregled - prvi,22786.0,24348.0,6.86,24411.0,False
1040P,Psihiatrična obravnava - prva,3071.0,3630.0,18.2,3032.5,False
1042P,Pregled ob odvajanju odvisnosti od prepovedanih drog - prvi,10.0,23.0,130.0,23.5,False
1044P,Pregled ob odvajanju odvisnosti od alkohola - prvi,101.0,146.0,44.55,124.0,False
1045P,Revmatološki pregled - prvi,5870.0,5581.0,-4.92,5774.0,False
1050P,Urološki pregled - prvi,7293.0,6182.0,-15.23,6460.0,False
1053P,Diabetološki pregled - prvi,1615.0,1764.0,9.23,1786.5,False
1056P,Alergološki pregled - prvi,3665.0,4307.0,17.52,4089.5,False
1057P,Kardiološki pregled otroka - prvi,1336.0,1153.0,-13.7,1257.0,False
1062P,Alergološki pregled otroka - prvi,4179.0,4561.0,9.14,4524.5,False
1063P,Revmatološki pregled otroka - prvi,105.0,139.0,32.38,109.5,False
1067P,Nevrološki pregled otroka - prvi,1633.0,1845.0,12.98,1724.0,False
1149,Operacija karpalnega kanala,1258.0,1354.0,7.63,1370.0,False
1151,Fenestracija hrbtenice,106.0,116.0,9.43,98.5,False
1152,Operacija tumorja na hrbtenici,20.0,12.0,-40.0,17.0,False
1164,Druge nevrokirurške operacije,27.0,86.0,218.52,26.0,False
1176,Operacije na ščitnici in obščitnici,134.0,162.0,20.9,124.0,False
1195,Operacija sive mrene (katarakte),11198.0,16139.0,44.12,14390.0,True
1215,Miringotomija,18.0,55.0,205.56,57.0,False
1220,Miringoplastika,5.0,7.0,40.0,7.0,False
1241,Tonzilektomija/adenoidektomija,451.0,589.0,30.6,599.0,False
1264,Drugi oralni operativni posegi,2579.0,2653.0,2.87,2502.5,False
1265,Posegi v grlu,630.0,485.0,-23.02,522.0,False
1285,Aortokoronarni obvodi,28.0,45.0,60.71,36.0,False
1286,Menjava srčne zaklopke,19.0,38.0,100.0,31.5,False
1287,Aortokoronarni obvodi z menjavo srčne zaklopke,172.0,214.0,24.42,197.0,False
1288,Operacije prirojenih srčnih napak,7.0,6.0,-14.29,5.0,False
1289,Operacija torakalne anevrizme,3.0,4.0,33.33,6.0,False
1290,Operacija abdominalne aorte (anevrizma ali okluzija),55.0,49.0,-10.91,51.0,False
1291,Femoro - poplitealni obvod (bypass),14.0,18.0,28.57,21.0,False
1292,Tea ACI,91.0,76.0,-16.48,91.0,False
1293,Druge žilne operacije (razen arterije),417.0,292.0,-29.98,402.0,False
1301,PTCA (koronarna angiografija),1716.0,1912.0,11.42,1597.5,False
1303,Transkateterska embolizacija krvnih žil,48.0,49.0,2.08,98.0,False
