korak,razlicica,vrsta,kazalnik,vrednost,enota
B,izhodiscna,Dermatološki pregled - prvi,rast_prva_zadnja_pct,20.078,
B,izhodiscna,Dermatološki pregled - prvi,rast_prva_vrh_pct,30.9181,
B,izhodiscna,Dermatološki pregled - prvi,naklon_na_teden,47.4954,
B,izhodiscna,Dermatološki pregled - prvi,R2,0.6371,
B,izhodiscna,Dermatološki pregled - prvi,povprecje,29198.0536,
B,izhodiscna,Dermatološki pregled - prvi,sd_razlik,523.4051,
B,izhodiscna,Dermatološki pregled - prvi,n_tednov,112.0,
B,izhodiscna,Kardiološki pregled - prvi,rast_prva_zadnja_pct,-11.5897,
B,izhodiscna,Kardiološki pregled - prvi,rast_prva_vrh_pct,0.0,
B,izhodiscna,Kardiološki pregled - prvi,naklon_na_teden,-16.6155,
B,izhodiscna,Kardiološki pregled - prvi,R2,0.3014,
B,izhodiscna,Kardiološki pregled - prvi,povprecje,17390.9554,
B,izhodiscna,Kardiološki pregled - prvi,sd_razlik,217.5155,
B,izhodiscna,Kardiološki pregled - prvi,n_tednov,112.0,
B,izhodiscna,UZ vratnih žil,rast_prva_zadnja_pct,59.9822,
B,izhodiscna,UZ vratnih žil,rast_prva_vrh_pct,65.4138,
B,izhodiscna,UZ vratnih žil,naklon_na_teden,117.2158,
B,izhodiscna,UZ vratnih žil,R2,0.8767,
B,izhodiscna,UZ vratnih žil,povprecje,24657.7768,
B,izhodiscna,UZ vratnih žil,sd_razlik,409.406,
B,izhodiscna,UZ vratnih žil,n_tednov,112.0,
B,izhodiscna,MR glave brez kontrasta,rast_prva_zadnja_pct,59.0157,
B,izhodiscna,MR glave brez kontrasta,rast_prva_vrh_pct,69.5038,
B,izhodiscna,MR glave brez kontrasta,naklon_na_teden,39.1229,
B,izhodiscna,MR glave brez kontrasta,R2,0.6505,
B,izhodiscna,MR glave brez kontrasta,povprecje,5172.3482,
B,izhodiscna,MR glave brez kontrasta,sd_razlik,142.5163,
B,izhodiscna,MR glave brez kontrasta,n_tednov,112.0,
B,izhodiscna,Operacija sive mrene (katarakte),rast_prva_zadnja_pct,44.124,
B,izhodiscna,Operacija sive mrene (katarakte),rast_prva_vrh_pct,45.7939,
B,izhodiscna,Operacija sive mrene (katarakte),naklon_na_teden,46.5376,
B,izhodiscna,Operacija sive mrene (katarakte),R2,0.9613,
B,izhodiscna,Operacija sive mrene (katarakte),povprecje,14016.1786,
B,izhodiscna,Operacija sive mrene (katarakte),sd_razlik,205.0231,
B,izhodiscna,Operacija sive mrene (katarakte),n_tednov,112.0,
B,izhodiscna,Endoproteza kolena,rast_prva_zadnja_pct,9.7408,
B,izhodiscna,Endoproteza kolena,rast_prva_vrh_pct,9.7408,
B,izhodiscna,Endoproteza kolena,naklon_na_teden,4.805,
B,izhodiscna,Endoproteza kolena,R2,0.3549,
B,izhodiscna,Endoproteza kolena,povprecje,8835.8929,
B,izhodiscna,Endoproteza kolena,sd_razlik,236.8737,
