razlicica,vrsta,horizont,model,n_testnih_tock,MAE,delta_MAE_proti_naivnemu_pct,wilcoxon_p
A_interpolirano,Dermatološki pregled - prvi,1,ar1,68,168.6858,-4.2974,0.0242
A_interpolirano,Dermatološki pregled - prvi,1,lin,68,1185.3282,-632.8816,0.0
A_interpolirano,Dermatološki pregled - prvi,1,naivni,68,161.7353,0.0,
A_interpolirano,Dermatološki pregled - prvi,4,ar1,65,451.7321,-7.907,0.012
A_interpolirano,Dermatološki pregled - prvi,4,lin,65,1357.2649,-224.2153,0.0
A_interpolirano,Dermatološki pregled - prvi,4,naivni,65,418.6308,0.0,
A_interpolirano,Kardiološki pregled - prvi,1,ar1,68,126.589,-3.0904,0.136
A_interpolirano,Kardiološki pregled - prvi,1,lin,68,868.1205,-606.9723,0.0
A_interpolirano,Kardiološki pregled - prvi,1,naivni,68,122.7941,0.0,
A_interpolirano,Kardiološki pregled - prvi,4,ar1,65,356.4497,-5.5402,0.0559
A_interpolirano,Kardiološki pregled - prvi,4,lin,65,988.564,-192.701,0.0
A_interpolirano,Kardiološki pregled - prvi,4,naivni,65,337.7385,0.0,
A_interpolirano,Operacija sive mrene (katarakte),1,ar1,68,90.0467,-2.583,0.4976
A_interpolirano,Operacija sive mrene (katarakte),1,lin,68,346.1594,-294.3515,0.0
A_interpolirano,Operacija sive mrene (katarakte),1,naivni,68,87.7794,0.0,
A_interpolirano,Operacija sive mrene (katarakte),4,ar1,65,163.5205,14.5318,0.1406
A_interpolirano,Operacija sive mrene (katarakte),4,lin,65,401.2451,-109.7212,0.0
A_interpolirano,Operacija sive mrene (katarakte),4,naivni,65,191.3231,0.0,
A_interpolirano,Endoproteza kolena,1,ar1,68,146.5287,-25.1753,0.0092
A_interpolirano,Endoproteza kolena,1,lin,68,206.4387,-76.3547,0.0
A_interpolirano,Endoproteza kolena,1,naivni,68,117.0588,0.0,
A_interpolirano,Endoproteza kolena,4,ar1,65,214.9408,-8.8265,0.7168
A_interpolirano,Endoproteza kolena,4,lin,65,213.2205,-7.9555,0.2461
A_interpolirano,Endoproteza kolena,4,naivni,65,197.5077,0.0,
A_interpolirano,MR glave brez kontrasta,1,ar1,68,101.5811,-2.7598,0.4976
A_interpolirano,MR glave brez kontrasta,1,lin,68,1086.6901,-999.2997,0.0
A_interpolirano,MR glave brez kontrasta,1,naivni,68,98.8529,0.0,
A_interpolirano,MR glave brez kontrasta,4,ar1,65,343.2611,0.2505,0.8728
A_interpolirano,MR glave brez kontrasta,4,lin,65,1250.2521,-263.3154,0.0
A_interpolirano,MR glave brez kontrasta,4,naivni,65,344.1231,0.0,
A_interpolirano,UZ vratnih žil,1,ar1,68,262.7349,-1.3845,0.6163
A_interpolirano,UZ vratnih žil,1,lin,68,1768.6858,-582.5028,0.0
A_interpolirano,UZ vratnih žil,1,naivni,68,259.1471,0.0,
A_interpolirano,UZ vratnih žil,4,ar1,65,675.7473,-10.1311,0.2624
A_interpolirano,UZ vratnih žil,4,lin,65,2001.9175,-226.2659,0.0
A_interpolirano,UZ vratnih žil,4,naivni,65,613.5846,0.0,
A_interpolirano,Agregat,1,ar1,68,1315.3613,-1.7248,0.4414
A_interpolirano,Agregat,1,lin,68,5047.3461,-290.3416,0.0
A_interpolirano,Agregat,1,naivni,68,1293.0588,0.0,
A_interpolirano,Agregat,4,ar1,65,2852.1667,-0.8003,0.6125
A_interpolirano,Agregat,4,lin,65,5537.21,-95.6941,0.0
A_interpolirano,Agregat,4,naivni,65,2829.5231,0.0,
B_brez_interpolacije,Dermatološki pregled - prvi,1,ar1,58,194.2205,-4.857,0.0159
B_brez_interpolacije,Dermatološki pregled - prvi,1,lin,58,1181.1336,-537.678,0.0
B_brez_interpolacije,Dermatološki pregled - prvi,1,naivni,58,185.2241,0.0,
B_brez_interpolacije,Dermatološki pregled - prvi,4,ar1,55,503.4925,-9.5112,0.0114
B_brez_interpolacije,Dermatološki pregled - prvi,4,lin,55,1390.8681,-202.5181,0.0
B_brez_interpolacije,Dermatološki pregled - prvi,4,naivni,55,459.7636,0.0,
B_brez_interpolacije,Kardiološki pregled - prvi,1,ar1,58,139.4251,-1.3111,0.5537
B_brez_interpolacije,Kardiološki pregled - prvi,1,lin,58,827.8045,-501.5116,0.0
B_brez_interpolacije,Kardiološki pregled - prvi,1,naivni,58,137.6207,0.0,
B_brez_interpolacije,Kardiološki pregled - prvi,4,ar1,55,388.6164,-3.4605,0.3187
B_brez_interpolacije,Kardiološki pregled - prvi,4,lin,55,932.9344,-148.3731,0.0
B_brez_interpolacije,Kardiološki pregled - prvi,4,naivni,55,375.6182,0.0,
B_brez_interpolacije,Operacija sive mrene (katarakte),1,ar1,58,101.7293,-3.4959,0.5589
B_brez_interpolacije,Operacija sive mrene (katarakte),1,lin,58,314.2185,-219.675,0.0
B_brez_interpolacije,Operacija sive mrene (katarakte),1,naivni,58,98.2931,0.0,
B_brez_interpolacije,Operacija sive mrene (katarakte),4,ar1,55,165.5874,16.1003,0.1774
B_brez_interpolacije,Operacija sive mrene (katarakte),4,lin,55,365.9693,-85.429,0.0
B_brez_interpolacije,Operacija sive mrene (katarakte),4,naivni,55,197.3636,0.0,
B_brez_interpolacije,Endoproteza kolena,1,ar1,58,158.2289,-22.217,0.0421
B_brez_interpolacije,Endoproteza kolena,1,lin,58,204.6287,-58.0565,0.0008
B_brez_interpolacije,Endoproteza kolena,1,naivni,58,129.4655,0.0,
B_brez_interpolacije,Endoproteza kolena,4,ar1,55,231.729,-9.2125,0.7566
B_brez_interpolacije,Endoproteza kolena,4,lin,55,213.6276,-0.6814,0.8538
B_brez_interpolacije,Endoproteza kolena,4,naivni,55,212.1818,0.0,
B_brez_interpolacije,MR glave brez kontrasta,1,ar1,58,114.487,-0.0489,0.9229
B_brez_interpolacije,MR glave brez kontrasta,1,lin,58,1161.0648,-914.6415,0.0
