datum,cak_skupaj,n_vzs,n_cak_ne_nan
2024-04-04,304298.0,374,326
2024-04-11,304451.0,374,329
2024-04-18,306774.0,374,325
2024-04-25,307508.0,375,327
2024-05-03,309211.0,375,325
2024-05-09,308858.0,375,330
2024-05-16,306847.0,375,327
2024-05-23,306856.0,375,331
2024-05-30,308003.0,375,332
2024-06-06,304788.0,375,328
2024-06-13,309257.0,375,330
2024-06-20,306768.0,375,328
2024-06-27,307776.0,375,327
2024-07-04,307629.0,375,329
2024-07-11,306869.0,375,329
2024-07-18,299778.0,375,326
2024-07-25,297766.0,375,330
2024-08-01,295237.0,375,330
2024-08-08,296388.0,375,330
2024-08-16,295874.0,375,330
2024-08-22,295541.0,375,329
2024-08-29,308272.0,375,325
2024-09-05,305452.0,375,328
2024-09-12,304877.0,375,325
2024-09-19,305103.0,371,326
2024-09-26,304780.0,375,329
2024-10-03,307130.0,375,328
2024-10-10,308155.0,375,325
2024-10-17,305351.0,375,327
2024-10-24,307073.0,375,324
2024-10-31,308338.0,375,326
2024-11-07,308457.0,375,326
2024-11-14,308838.0,375,325
2024-11-21,307758.0,375,325
2024-11-28,307854.0,375,327
2024-12-05,306619.0,374,325
2024-12-12,306509.0,374,322
2024-12-19,306450.0,374,325
2025-01-08,306731.0,374,324
2025-01-15,306689.0,373,327
2025-01-22,308346.0,371,328
2025-01-29,311418.0,374,327
2025-02-05,312126.0,374,330
2025-02-12,316607.0,371,331
2025-02-19,316298.0,374,331
2025-02-26,320563.0,374,327
2025-03-05,320792.0,374,326
2025-03-12,322653.0,374,323
2025-03-19,322974.0,374,327
2025-03-26,324456.0,374,328
2025-04-02,324831.0,374,331
2025-04-09,326097.0,374,330
2025-04-16,326636.0,374,331
2025-04-23,327647.0,374,332
2025-04-30,330859.0,374,329
2025-05-07,329116.0,374,328
2025-05-14,330466.0,374,332
2025-05-21,330048.0,373,330
2025-05-28,332320.0,373,331
2025-06-04,334972.0,373,330
2025-06-11,301694.0,373,315
2025-06-18,333451.0,373,330
2025-07-02,334202.0,373,331
2025-07-09,335419.0,374,333
2025-07-16,334749.0,374,329
2025-07-23,338004.0,373,329
2025-07-30,336726.0,372,329
2025-08-06,337969.0,372,332
2025-08-13,339026.0,372,332
2025-08-20,330864.0,372,331
2025-08-27,337515.0,372,330
2025-09-03,336969.0,372,330
2025-09-10,337949.0,372,330
2025-09-17,338206.0,372,328
2025-09-24,339033.0,372,325
2025-10-01,338515.0,371,328
2025-10-08,340058.0,371,326
2025-10-15,342171.0,371,332
2025-10-22,343372.0,371,328
2025-10-29,346597.0,371,329
2025-11-05,344832.0,371,330
2025-11-12,346056.0,371,335
2025-11-19,346142.0,371,331
2025-11-26,347389.0,371,331
2025-12-03,347077.0,371,332
2025-12-10,346112.0,371,332
2025-12-17,344407.0,371,330
2026-01-07,344157.0,371,332
2026-01-14,345132.0,371,335
2026-01-21,347079.0,371,337
2026-01-28,350430.0,371,339
2026-02-04,352416.0,371,340
2026-02-11,353907.0,371,335
2026-02-18,358368.0,371,334
2026-02-25,357067.0,371,335
2026-03-04,355763.0,371,335
2026-03-11,356865.0,371,335
2026-03-18,356807.0,371,332
2026-03-25,359061.0,371,336
2026-04-08,356970.0,371,334
2026-04-15,355146.0,371,339
2026-04-29,358539.0,371,340
2026-05-06,356345.0,371,337
2026-05-13,357111.0,371,339
2026-05-20,355834.0,371,336
2026-05-27,357708.0,371,333
2026-06-03,355410.0,371,334
2026-06-17,352730.0,371,333
2026-06-24,353129.0,371,332
2026-07-01,351733.0,371,332
2026-07-08,351531.0,369,333
2026-07-15,352669.0,367,332
