vzs_sifra,n_tednov,n_cak,mediana_cak,min_cak,mediana_cd_redno,vzs_naziv,tip_vzs,popolna
1010P,112,112,29360.5,24345.0,425.5961538461538,Dermatološki pregled - prvi,Kurativni pregled - Prvi,True
1941,112,112,26579.5,17932.0,356.13497340425533,UZ vratnih žil,Diagnostični postopek,True
1033P,112,112,24411.0,21730.0,158.75189393939394,Ortopedski pregled - prvi,Kurativni pregled - Prvi,True
2395P,112,112,19706.5,9413.0,416.8888888888889,Oromaksilofacialni pregled - prvi,Kurativni pregled - Prvi,True
1018P,112,112,17173.0,15744.0,298.9818181818182,Kardiološki pregled - prvi,Kurativni pregled - Prvi,True
1195,112,112,14390.0,11189.0,377.17532467532465,Operacija sive mrene (katarakte),Terapevtski postopek,True
1026P,112,112,12272.0,10773.0,354.4,Nevrološki pregled - prvi,Kurativni pregled - Prvi,True
1472,112,112,10237.5,8576.0,228.55533596837944,Nevromišična elektrodiagnostika (tudi elektromiografija EMG),Diagnostični postopek,True
1626,112,112,8812.0,7833.0,678.0,Endoproteza kolena,Terapevtski postopek,True
1311,112,112,6877.5,5866.0,430.28125,Operacija krčnih žil,Terapevtski postopek,True
1050P,112,112,6455.5,5646.0,248.35294117647058,Urološki pregled - prvi,Kurativni pregled - Prvi,True
1045P,112,112,5774.0,4156.0,819.6875,Revmatološki pregled - prvi,Kurativni pregled - Prvi,True
1768,112,112,5508.5,3427.0,112.33333333333333,MR lumbosakralne hrbtenice,Diagnostični postopek,True
1930P,112,112,5373.0,4186.0,180.44254032258064,Okulistični pregled zaradi očal - prvi,Kurativni pregled - Prvi,True
1624,112,112,5337.5,4786.0,445.11538461538464,Endoproteza kolka delna (PEP)/totalna (TEP),Terapevtski postopek,True
1755,112,112,4764.0,3160.0,180.84210526315792,MR glave brez kontrasta,Diagnostični postopek,True
1062P,112,112,4524.5,4040.0,299.1359649122807,Alergološki pregled otroka - prvi,Kurativni pregled - Prvi,True
1342,112,112,4367.5,3522.0,245.16666666666666,Operacija kile,Terapevtski postopek,True
1056P,112,112,4091.5,3665.0,143.99851851851852,Alergološki pregled - prvi,Kurativni pregled - Prvi,True
1772,112,112,3546.0,1950.0,107.08986928104575,MR kolena,Diagnostični postopek,True
1943,112,112,3139.0,2907.0,285.75,UZ dojk obojestransko,Diagnostični postopek,True
1040P,112,112,3032.0,2591.0,124.51886792452831,Psihiatrična obravnava - prva,Kurativni pregled - Prvi,True
1607,112,112,2870.0,2563.0,680.1785714285713,Operacija nožnega palca (hallux),Terapevtski postopek,True
1759,112,112,2822.5,2175.0,193.10526315789474,MR glave s KS,Diagnostični postopek,True
1991,112,112,2817.0,2596.0,289.27030812324927,UZ mehkih tkiv,Diagnostični postopek,True
1764,112,112,2591.0,1566.0,132.94736842105263,MR cervikalne hrbtenice,Diagnostični postopek,True
2182P,112,112,2507.0,2001.0,59.16666666666667,Ginekološki pregled (razen pregled nosečnic) na sekundarni ravni - prvi,Kurativni pregled - Prvi,True
1264,112,112,2502.5,438.0,272.2003676470588,Drugi oralni operativni posegi,Terapevtski postopek,True
1952,112,112,2316.0,423.0,329.16666666666663,Usmerjen UZ srca,Diagnostični postopek,True
2006,112,112,2207.5,1891.0,126.82843137254902,Artroskopija kolena (diagnostična in terapevtska),Terapevtski postopek,True
1327,112,112,2093.0,1776.0,234.7,Operacija žolčnih kamnov,Terapevtski postopek,True
1765,112,112,2061.0,1214.0,113.41666666666666,MR rame,Diagnostični postopek,True
1931,112,112,2028.5,1632.0,265.723731884058,UZ vratu,Diagnostični postopek,True
2349,112,112,2011.0,1525.0,295.06904761904764,MRCP (pregled žolčnega sistema),Diagnostični postopek,True
1713,112,112,1932.0,1288.0,107.71428571428572,CT prsnih organov brez KS,Diagnostični postopek,True
1724,112,112,1851.0,1630.0,106.02380952380952,CT prsnih organov s KS,Diagnostični postopek,True
1053P,112,112,1786.5,1512.0,75.81914893617022,Diabetološki pregled - prvi,Kurativni pregled - Prvi,True
1067P,112,112,1722.0,1414.0,268.33333333333337,Nevrološki pregled otroka - prvi,Kurativni pregled - Prvi,True
1725,112,112,1682.5,1411.0,110.38095238095238,CT trebušnih organov s KS,Diagnostični postopek,True
1301,112,112,1596.5,1361.0,179.55555555555554,PTCA (koronarna angiografija),Diagnostični postopek,True
1750,112,112,1495.0,1290.0,209.17777777777778,CTA koronarnih arterij,Diagnostični postopek,True
1149,112,112,1370.0,1177.0,92.3529411764706,Operacija karpalnega kanala,Terapevtski postopek,True
1012P,112,112,1341.5,1114.0,281.625,Flebološki pregled - prvi,Kurativni pregled - Prvi,True
2379,112,112,1340.0,1169.0,645.75,Operacija nosnega pretina,Terapevtski postopek,True
1888,112,112,1318.0,938.0,23.78638763197587,RTG pc,Diagnostični postopek,True
1310,112,112,1316.0,892.0,402.1363636363636,Sklerozacija krčnih žil,Terapevtski postopek,True
2173,112,112,1309.0,1083.0,567.3,Posegi na mandljih in žrelnici pri otrocih v splošni anesteziji,Terapevtski postopek,True
2109,112,112,1264.0,1096.0,556.8333333333334,Operacija hrbtenice - spondilodeza,Terapevtski postopek,True
1057P,112,112,1256.0,1073.0,144.95833333333331,Kardiološki pregled otroka - prvi,Kurativni pregled - Prvi,True
1718,112,112,1251.5,765.0,100.94117647058823,CT prsnega koša - pljuč HRCT,Diagnostični postopek,True
2175,112,112,1244.5,1012.0,616.625,Posegi na žrelnici in bobniču pri otrocih v splošni anesteziji,Terapevtski postopek,True
1397,112,112,1114.5,439.0,49.125,"Kolposkopija, vaginoskopija",Terapevtski postopek,True
1865,112,112,1111.0,854.0,21.02246376811594,RTG kolena,Diagnostični postopek,True
2271,112,112,1014.0,811.0,237.23333333333335,UZ skrotuma,Diagnostični postopek,True
2168,112,112,960.5,837.0,472.75,Druge operacije nosu v lokalni anesteziji,Terapevtski postopek,True
1983,112,112,940.0,803.0,261.46428571428567,UZ sklepa,Diagnostični postopek,True
2017,112,112,920.5,366.0,92.27777777777777,"Mamografija (vključuje odčitavanje slike, izključuje preventivno presejanje)",Diagnostični postopek,True
2407,112,112,917.0,791.0,524.1,Druge ortopedske operacije gležnja in stopala,Terapevtski postopek,True
2352,112,112,909.5,660.0,278.30769230769226,MR male medenice s KS,Diagnostični postopek,True
1873,112,112,908.0,699.0,20.922946859903384,RTG lumbosakralne hrbtenice,Diagnostični postopek,True
1715,112,112,867.5,260.0,111.23809523809524,CT trebušnih organov brez KS,Diagnostični postopek,True
1669,112,112,858.5,706.0,84.4,CT glave brez KS,Diagnostični postopek,True
1805,112,112,834.0,610.0,167.0,MRA možganskega žilja - arterije TOF,Diagnostični postopek,True
1986,112,112,823.5,681.0,29.176470588235293,UZ kolka dojenčkov,Diagnostični postopek,True
2108,112,112,812.0,660.0,286.72222222222223,Operacija hrbtenice - dekompresija,Terapevtski postopek,True
1771,112,112,751.0,454.0,113.875,MR kolka,Diagnostični postopek,True
2178,112,112,743.5,684.0,1012.0,Endoskopske operacije obnosnih votlin v splošni anesteziji,Terapevtski postopek,True
1766,112,112,698.5,467.0,113.16666666666666,MR torakalne hrbtenice,Diagnostični postopek,True
1792,112,112,676.0,201.0,301.82142857142856,MR trebušnih organov,Diagnostični postopek,True
1396,112,112,616.5,438.0,48.42948717948718,Ambulantna histeroskopija,Terapevtski postopek,True
2172,112,112,613.5,455.0,795.3333333333334,Posegi na mandljih pri odrasli v splošni anesteziji,Terapevtski postopek,True
1833,112,112,604.0,442.0,327.9,MR srca - prikaz morfoloških struktur s KS,Diagnostični postopek,True
1795,112,112,602.5,516.0,243.9577205882353,MR medenice,Diagnostični postopek,True
1241,112,112,600.0,451.0,656.1666666666667,Tonzilektomija/adenoidektomija,Terapevtski postopek,True
1868,112,112,597.0,462.0,26.700000000000003,RTG kolka,Diagnostični postopek,True
1471,112,112,561.5,314.0,63.05,Elektroencefalografija (EEG),Diagnostični postopek,True
2338P,112,112,553.5,423.0,222.66666666666669,Urološki pregled otroka - prvi,Kurativni pregled - Prvi,True
1773,112,112,542.0,306.0,108.63888888888889,MR gležnja,Diagnostični postopek,True
1834,112,112,527.5,380.0,327.9,MR srca - prikaz funkcije s KS,Diagnostični postopek,True
1774,112,112,522.5,346.0,114.44117647058823,MR stopala,Diagnostični postopek,True
1265,112,112,522.0,464.0,522.5,Posegi v grlu,Terapevtski postopek,True
1801,112,112,516.0,262.0,301.67857142857144,MR zgornjega abdomna s KS,Diagnostični postopek,True
1604,112,112,508.5,410.0,152.5,Ortopedska operacija rame,Terapevtski postopek,True
1758,112,112,498.0,293.0,179.34375,MR multipla skleroza brez KS,Diagnostični postopek,True
1794,112,112,495.5,326.0,312.05357142857144,MR zgornjega abdomna,Diagnostični postopek,True
1859,112,112,485.5,339.0,26.81111111111111,RTG rame,Diagnostični postopek,True
1869,112,112,471.0,322.0,21.236123959296947,RTG medenice,Diagnostični postopek,True
1611,112,112,463.0,321.0,80.86363636363637,Operacija discus hernie,Terapevtski postopek,True
2359,112,112,438.0,60.0,271.5833333333333,CT srca - prikaz kalcinacij,Diagnostični postopek,True
2383,112,112,422.5,347.0,709.6,"Drugi posegi v ustih, na nebu ali jezičku",Terapevtski postopek,True
2184P,112,112,416.0,329.0,41.535714285714285,Pregled ob neplodnosti - ženske - prvi,Kurativni pregled - Prvi,True
1729,112,112,405.5,257.0,66.27777777777777,CT urografija - KS,Diagnostični postopek,True
1293,112,112,401.5,292.0,248.0,Druge žilne operacije (razen arterije),Terapevtski postopek,True
1803,112,112,401.0,288.0,301.17857142857144,MR jeter s kontrastom,Diagnostični postopek,True
1011P,112,112,393.5,277.0,121.83333333333334,Venerološki pregled - prvi,Kurativni pregled - Prvi,True
1871,112,112,380.5,244.0,20.527058279370955,RTG cervikalne hrbtenice,Diagnostični postopek,True
1741,112,112,378.5,279.0,66.58333333333333,CTA pelvičnih a. in a. spodnjih okončin,Diagnostični postopek,True
1740,112,112,366.5,251.0,96.4,CTA aorto - cervikalna,Diagnostični postopek,True
1625,112,112,354.0,292.0,208.27272727272728,Endoproteza rame delna (PEP)/totalna (TEP),Terapevtski postopek,True
2177,112,112,350.0,258.0,885.125,Funkcionalne estetske operacije nosu v splošni anesteziji,Terapevtski postopek,True
1861,112,112,343.5,288.0,20.0,RTG stopala,Diagnostični postopek,True
1674,112,112,332.5,244.0,84.79078947368421,CT obnosnih votlin brez KS,Diagnostični postopek,True
2174,112,112,320.5,84.0,604.8333333333334,Posegi na žrelnici pri otrocih v splošni anesteziji,Terapevtski postopek,True
1796,112,112,316.0,180.0,312.41666666666663,MR jeter,Diagnostični postopek,True
2373,112,112,312.0,206.0,460.5,Drugi posegi na bobniču in srednjem ušesu,Terapevtski postopek,True
1793,112,112,309.5,140.0,291.2857142857143,MR abdomna - drugo,Diagnostični postopek,True
2166,112,112,304.5,52.0,476.8333333333333,Funkcionalni posegi v nosu v lokalni anesteziji,Terapevtski postopek,True
1802,112,112,304.0,228.0,262.27389705882354,MR medenice s KS,Diagnostični postopek,True
1400,112,112,302.5,70.0,32.888888888888886,"Odvzem tkivnega vzorca za histopatološko diagnostiko predrakavih/rakavih sprememb materničnega vratu (biopsija, odščip)",Diagnostični postopek,True
1781,112,112,298.0,128.0,140.79411764705884,MR lumbosakralne hrbtenice s KS,Diagnostični postopek,True
1743,112,112,292.5,199.0,65.61695906432749,CTA možganskih arterij,Diagnostični postopek,True
2309,112,112,288.0,261.0,785.25,Druge ušesne operacije,Terapevtski postopek,True
2162,112,112,277.5,248.0,453.5,Posegi na bobniču ali srednjem ušesu v lokalni anesteziji,Terapevtski postopek,True
2351,112,112,272.5,179.0,273.0,MR male medenice,Diagnostični postopek,True
1769,112,112,261.5,155.0,113.35267857142857,MR zapestja,Diagnostični postopek,True
2160,112,112,254.0,173.0,223.15,Lažji posegi v otorinolaringologiji v lokalni anesteziji,Terapevtski postopek,True
1732,112,112,252.0,213.0,117.02777777777777,CTA torakalne aorte,Diagnostični postopek,True
2181,112,112,244.5,196.0,628.875,Druge operacije obnosnih votlin v splošni anesteziji,Terapevtski postopek,True
1777,112,112,240.5,148.0,117.3125,MR SIS (sakroliakalnega sklepa) brez KS,Diagnostični postopek,True
2183P,112,112,232.5,147.0,30.0,Pregled ob neplodnosti - moški - prvi,Kurativni pregled - Prvi,True
1762,112,112,230.5,106.0,183.2075163398693,MR multipla skleroza s KS,Diagnostični postopek,True
1606,112,112,230.0,185.0,119.3525641025641,"Operacija Dupuytrenove kontrakture (CD, fibromatoza dlančne fascije)",Terapevtski postopek,True
1831,112,112,228.0,56.0,323.85,MR srca - prikaz morfoloških struktur brez KS,Diagnostični postopek,True
1733,112,112,227.5,154.0,106.28571428571428,CTA abdominalne aorte,Diagnostični postopek,True
1776,112,112,221.0,134.0,119.78571428571428,MR skeleta brez KS - drugo,Diagnostični postopek,True
2347,112,112,220.0,158.0,190.55,MR multipla skleroza s KS s 3D,Diagnostični postopek,True
1872,112,112,219.0,152.0,20.586956521739133,RTG torakalne hrbtenice,Diagnostični postopek,True
1676,112,112,218.5,177.0,84.94736842105263,CT glave s KS,Diagnostični postopek,True
1719,112,112,217.0,179.0,65.14705882352942,CT abdomna brez KS - drugo,Diagnostični postopek,True
1852,112,112,216.5,148.0,19.741919191919195,RTG prstov rok,Diagnostični postopek,True
1799,112,112,215.0,142.0,312.79166666666663,MR trebušnih organov s KS,Diagnostični postopek,True
2170,112,112,200.5,43.0,77.4,Mali posegi malignih sprememb v otorinolaringologiji v lokalni anesteziji,Terapevtski postopek,True
2329,112,112,200.5,131.0,105.8125,PTA (perkutana transluminalna angioplastika),Terapevtski postopek,True
1287,112,112,197.0,166.0,109.16666666666666,Aortokoronarni obvodi z menjavo srčne zaklopke,Terapevtski postopek,True
1832,112,112,195.5,40.0,323.85,MR srca - prikaz funkcije brez KS,Diagnostični postopek,True
1944,112,112,195.5,130.0,224.64285714285717,UZ dojk enostransko,Diagnostični postopek,True
1760,112,112,192.0,77.0,211.0,MR obraza in drugo s KS,Diagnostični postopek,True
1742,112,112,191.0,132.0,124.75892857142857,CTA torakalne in abdominalne aorte,Diagnostični postopek,True
1767,112,112,174.5,106.0,113.19791666666666,MR komolca,Diagnostični postopek,True
1862,112,112,174.0,120.0,20.077369439071568,RTG petnice,Diagnostični postopek,True
1778,112,112,160.0,121.0,134.8235294117647,MR cervikalne hrbtenice s KS,Diagnostični postopek,True
1756,112,112,158.5,76.0,189.08333333333331,MR obraza in drugo brez KS,Diagnostični postopek,True
1853,112,112,157.0,86.0,20.356236786469346,RTG dlani,Diagnostični postopek,True
1863,112,112,152.0,118.0,21.022474747474746,RTG gležnja,Diagnostični postopek,True
1308,112,112,148.0,108.0,104.11111111111111,Druge operacije na arterijah,Terapevtski postopek,True
1770,112,112,144.5,70.0,109.8076923076923,MR roke,Diagnostični postopek,True
1720,112,112,144.0,90.0,107.07692307692307,CT pljuč protokol lungcare,Diagnostični postopek,True
1747,112,112,139.0,42.0,137.375,CTA srca - prikaz kalcinacij,Diagnostični postopek,True
1800,112,112,135.5,97.0,307.11538461538464,MR abdomna s KS - drugo,Diagnostični postopek,True
1854,112,112,127.0,81.0,20.18181818181818,RTG zapestja,Diagnostični postopek,True
1044P,112,112,124.0,76.0,90.5,Pregled ob odvajanju odvisnosti od alkohola - prvi,Kurativni pregled - Prvi,True
1176,112,112,124.0,91.0,87.625,Operacije na ščitnici in obščitnici,Terapevtski postopek,True
1779,112,112,118.0,74.0,140.79411764705884,MR torakalne hrbtenice s KS,Diagnostični postopek,True
1685,112,112,117.0,85.0,43.388888888888886,CT lumbo - sakralne hrbtenice,Diagnostični postopek,True
1063P,112,112,109.5,75.0,163.5,Revmatološki pregled otroka - prvi,Kurativni pregled - Prvi,True
2284,112,112,102.0,64.0,25.31764705882353,RTG celotne hrbtenice,Diagnostični postopek,True
2104,112,112,102.0,75.0,252.35714285714283,Revizijska operacija kolka,Terapevtski postopek,True
1804,112,112,100.0,75.0,184.57142857142856,MR dojke s KS,Diagnostični postopek,True
2105,112,112,99.0,75.0,259.2142857142857,Revizijska operacija kolena,Terapevtski postopek,True
1303,112,112,98.5,33.0,236.5,Transkateterska embolizacija krvnih žil,Terapevtski postopek,True
1151,112,112,98.5,61.0,239.5,Fenestracija hrbtenice,Terapevtski postopek,True
1292,112,112,91.0,54.0,121.33333333333334,Tea ACI,Terapevtski postopek,True
2350,112,112,89.0,69.0,329.95,MR enterografija,Diagnostični postopek,True
1797,112,112,86.0,43.0,191.42857142857144,MR dojke,Diagnostični postopek,True
1748,112,112,74.0,34.0,175.07142857142856,CTA srca - prikaz morfoloških struktur,Diagnostični postopek,True
2384,112,112,72.0,60.0,239.0,Drugi posegi v nosu,Terapevtski postopek,True
1757,112,112,71.0,47.0,193.63636363636363,MR vratu brez KS,Diagnostični postopek,True
1672,112,112,70.0,41.0,52.83333333333333,CT srednjega ušesa in temporalke,Diagnostični postopek,True
1857,112,112,69.0,41.0,20.35144927536232,RTG komolca,Diagnostični postopek,True
2345,112,112,67.0,36.0,138.71428571428572,MR protokol epilepsija brez KS,Diagnostični postopek,True
1791,112,112,66.0,46.0,120.16666666666666,MR prsnega koša,Diagnostični postopek,True
1680,112,112,63.0,39.0,65.70192307692308,CT vratu s KS,Diagnostični postopek,True
1933,112,112,58.5,39.0,113.29166666666666,UZ otroške glave,Diagnostični postopek,True
