datum,cd_zelo_hitro,cd_hitro,cd_redno,cak_zelo_hitro,cak_hitro,cak_redno,cak_skupaj
2024-04-04,0.0027,0.0027,0.0,0.238,0.1791,0.2032,0.1283
2024-04-11,0.0027,0.0027,0.0,0.1203,0.1203,0.1203,0.1203
2024-04-18,0.0027,0.0027,0.0,0.131,0.131,0.131,0.131
2024-04-25,0.0027,0.0027,0.0,0.128,0.128,0.128,0.128
2024-05-03,0.0027,0.0027,0.0,0.2187,0.1973,0.208,0.1333
2024-05-09,0.0027,0.0027,0.0,0.2133,0.2027,0.2133,0.12
2024-05-16,0.0027,0.0027,0.0,0.128,0.128,0.128,0.128
2024-05-23,0.0027,0.0027,0.0,0.1173,0.1173,0.1173,0.1173
2024-05-30,0.0027,0.0027,0.0,0.1147,0.1147,0.1147,0.1147
2024-06-06,0.0027,0.0027,0.0,0.1253,0.1253,0.1253,0.1253
2024-06-13,0.0027,0.0027,0.0,0.12,0.12,0.12,0.12
2024-06-20,0.0027,0.0027,0.0,0.2213,0.1947,0.2213,0.1253
2024-06-27,0.0027,0.0027,0.0,0.128,0.128,0.128,0.128
2024-07-04,0.0027,0.0027,0.0,0.1227,0.1227,0.1227,0.1227
2024-07-11,0.0027,0.0027,0.0,0.1227,0.1227,0.1227,0.1227
2024-07-18,0.0027,0.0027,0.0,0.1307,0.1307,0.1307,0.1307
2024-07-25,0.0027,0.0027,0.0,0.12,0.12,0.12,0.12
2024-08-01,0.0027,0.0027,0.0,0.12,0.12,0.12,0.12
2024-08-08,0.0027,0.0027,0.0,0.12,0.12,0.12,0.12
2024-08-16,0.0027,0.0027,0.0,0.12,0.12,0.12,0.12
2024-08-22,0.0027,0.0027,0.0,0.1227,0.1227,0.1227,0.1227
2024-08-29,0.0027,0.0027,0.0,0.1333,0.1333,0.1333,0.1333
2024-09-05,0.0027,0.0027,0.0,0.1253,0.1253,0.1253,0.1253
2024-09-12,0.0027,0.0027,0.0,0.1333,0.1333,0.1333,0.1333
2024-09-19,0.0027,0.0027,0.0,0.1213,0.1213,0.1213,0.1213
2024-09-26,0.0027,0.0027,0.0,0.1227,0.1227,0.1227,0.1227
2024-10-03,0.0027,0.0027,0.0,0.1253,0.1253,0.1253,0.1253
