vzs_sifra,vzs_naziv,cd_zelo_hitro,cd_hitro,cd_redno,cak_zelo_hitro,cak_hitro,cak_redno,cak_skupaj,n_tednov
1004P,Pregled ob neplodnosti - par - prvi,0.0,0.0,0.0,0.0357,0.0089,0.0089,0.0089,112
1010P,Dermatološki pregled - prvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1011P,Venerološki pregled - prvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1012P,Flebološki pregled - prvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1018P,Kardiološki pregled - prvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1026P,Nevrološki pregled - prvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1033P,Ortopedski pregled - prvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1040P,Psihiatrična obravnava - prva,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1042P,Pregled ob odvajanju odvisnosti od prepovedanih drog - prvi,0.0,0.0,0.0,0.0446,0.0446,0.0,0.0,112
1044P,Pregled ob odvajanju odvisnosti od alkohola - prvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1045P,Revmatološki pregled - prvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1050P,Urološki pregled - prvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1053P,Diabetološki pregled - prvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1056P,Alergološki pregled - prvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1057P,Kardiološki pregled otroka - prvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1062P,Alergološki pregled otroka - prvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1063P,Revmatološki pregled otroka - prvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1067P,Nevrološki pregled otroka - prvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1149,Operacija karpalnega kanala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1151,Fenestracija hrbtenice,0.0,0.0,0.0,0.0089,0.0,0.0,0.0,112
1152,Operacija tumorja na hrbtenici,0.0,0.0,0.0,0.0,0.0,0.0089,0.0,112
1164,Druge nevrokirurške operacije,0.0,0.0,0.0,0.0268,0.0,0.0,0.0,112
1165,"Operacija prirojenih anomalij hrbtenjače in hrbteničnega kanala (meningokela, mielomeningokela,…)",0.0,0.0,0.0,1.0,1.0,1.0,1.0,112
1176,Operacije na ščitnici in obščitnici,0.0,0.0,0.0,0.0089,0.0,0.0,0.0,112
1195,Operacija sive mrene (katarakte),0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1209,Biopsija zunanjega ušesa,0.0,0.0,0.0,0.9464,0.9464,0.9464,0.9464,112
1214,Kateterizacija Evstahijeve tube (ušesne troblje),0.0,0.0,0.0,0.1875,0.1786,0.1696,0.1696,112
1215,Miringotomija,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1220,Miringoplastika,0.0,0.0,0.0,0.0357,0.0446,0.0,0.0,112
1228,Biopsija nosne votline in/ali zgornjega žrela,0.0,0.0,0.0,0.6339,0.6339,0.6339,0.6339,112
1231,Aspiracija in lavaža nosnih sinusov,0.0,0.0,0.0,1.0,1.0,1.0,1.0,54
1232,Biopsija nosnih sinusov,0.0,0.0,0.0,0.9554,0.9554,0.9554,0.9554,112
1234,Biopsija jezika,0.0,0.0,0.0,0.8393,0.8393,0.8393,0.8393,112
1236,Biopsija žlez slinavk in izvodil,0.0,0.0,0.0,0.0357,0.0714,0.0625,0.0357,112
1238,Biopsija ustne votline,0.0,0.0,0.0,0.6786,0.6786,0.6786,0.6786,112
