datum,vzs_sifra,dogodek,vzs_naziv
2024-04-25,1231,vstop,Aspiracija in lavaža nosnih sinusov
2024-09-19,1695,izstop,CT po lSR brez KS
2024-09-19,1698,izstop,CT - dentalni
2024-09-19,1699,izstop,CT pelvimetrija
2024-09-19,1709,izstop,CT po lSR s KS
2024-09-26,1695,vstop,CT po lSR brez KS
2024-09-26,1698,vstop,CT - dentalni
2024-09-26,1699,vstop,CT pelvimetrija
2024-09-26,1709,vstop,CT po lSR s KS
2024-12-05,2382,izstop,Radikalna ekscizija tumorja ustne votline
2025-01-15,1240,izstop,Incizija in drenaža peritonzilarnega abscesa
2025-01-22,1443,izstop,Rekonstrukcija oblike obraza
2025-01-22,1444,izstop,Korekcija shize
2025-01-22,1662,izstop,Poseg na uhlju
2025-01-22,1240,vstop,Incizija in drenaža peritonzilarnega abscesa
2025-01-29,1443,vstop,Rekonstrukcija oblike obraza
2025-01-29,1444,vstop,Korekcija shize
2025-01-29,1662,vstop,Poseg na uhlju
2025-02-12,1695,izstop,CT po lSR brez KS
2025-02-12,1699,izstop,CT pelvimetrija
2025-02-12,1709,izstop,CT po lSR s KS
2025-02-19,1695,vstop,CT po lSR brez KS
2025-02-19,1699,vstop,CT pelvimetrija
2025-02-19,1709,vstop,CT po lSR s KS
2025-05-21,1231,izstop,Aspiracija in lavaža nosnih sinusov
2025-07-09,1898,vstop,Perkutana anterogradna pielografija
2025-07-23,1898,izstop,Perkutana anterogradna pielografija
2025-07-30,1926,izstop,RTG solzevodov
2025-10-01,1240,izstop,Incizija in drenaža peritonzilarnega abscesa
2026-07-08,1443,izstop,Rekonstrukcija oblike obraza
2026-07-08,1444,izstop,Korekcija shize
2026-07-15,1695,izstop,CT po lSR brez KS
2026-07-15,1698,izstop,CT - dentalni
2026-07-15,1699,izstop,CT pelvimetrija
2026-07-15,1709,izstop,CT po lSR s KS
2026-07-15,1443,vstop,Rekonstrukcija oblike obraza
2026-07-15,1444,vstop,Korekcija shize
