vzs_sifra,vzs_naziv,cak_zacetek,cak_konec,sprememba,sprememba_pct
1941,UZ vratnih žil,17932.0,28688.0,10756.0,60.0
1195,Operacija sive mrene (katarakte),11198.0,16139.0,4941.0,44.1
1010P,Dermatološki pregled - prvi,24345.0,29233.0,4888.0,20.1
1755,MR glave brez kontrasta,4958.0,7884.0,2926.0,59.0
1772,MR kolena,3039.0,5498.0,2459.0,80.9
1768,MR lumbosakralne hrbtenice,5910.0,8244.0,2334.0,39.5
2395P,Oromaksilofacialni pregled - prvi,18124.0,20431.0,2307.0,12.7
1033P,Ortopedski pregled - prvi,22786.0,24348.0,1562.0,6.9
2349,MRCP (pregled žolčnega sistema),1629.0,3106.0,1477.0,90.7
1765,MR rame,1779.0,3093.0,1314.0,73.9
1759,MR glave s KS,2604.0,3641.0,1037.0,39.8
1764,MR cervikalne hrbtenice,2718.0,3706.0,988.0,36.4
1725,CT trebušnih organov s KS,1584.0,2531.0,947.0,59.8
1713,CT prsnih organov brez KS,1665.0,2591.0,926.0,55.6
1724,CT prsnih organov s KS,1664.0,2515.0,851.0,51.1
1626,Endoproteza kolena,8603.0,9441.0,838.0,9.7
1943,UZ dojk obojestransko,2944.0,3775.0,831.0,28.2
1718,CT prsnega koša - pljuč HRCT,905.0,1602.0,697.0,77.0
1801,MR zgornjega abdomna s KS,322.0,1016.0,694.0,215.5
2352,MR male medenice s KS,782.0,1463.0,681.0,87.1
1056P,Alergološki pregled - prvi,3665.0,4307.0,642.0,17.5
1952,Usmerjen UZ srca,1973.0,2575.0,602.0,30.5
1931,UZ vratu,1849.0,2410.0,561.0,30.3
1040P,Psihiatrična obravnava - prva,3071.0,3630.0,559.0,18.2
2379,Operacija nosnega pretina,1169.0,1699.0,530.0,45.3
1773,MR gležnja,467.0,974.0,507.0,108.6
1805,MRA možganskega žilja - arterije TOF,845.0,1347.0,502.0,59.4
1771,MR kolka,723.0,1189.0,466.0,64.5
1774,MR stopala,436.0,898.0,462.0,106.0
1669,CT glave brez KS,955.0,1400.0,445.0,46.6
2359,CT srca - prikaz kalcinacij,60.0,503.0,443.0,738.3
1794,MR zgornjega abdomna,346.0,735.0,389.0,112.4
1750,CTA koronarnih arterij,1290.0,1676.0,386.0,29.9
1062P,Alergološki pregled otroka - prvi,4179.0,4561.0,382.0,9.1
2017,"Mamografija (vključuje odčitavanje slike, izključuje preventivno presejanje)",673.0,1034.0,361.0,53.6
1803,MR jeter s kontrastom,368.0,702.0,334.0,90.8
1342,Operacija kile,3604.0,3919.0,315.0,8.7
1756,MR obraza in drugo brez KS,128.0,428.0,300.0,234.4
1766,MR torakalne hrbtenice,743.0,1008.0,265.0,35.7
1729,CT urografija - KS,414.0,666.0,252.0,60.9
1758,MR multipla skleroza brez KS,582.0,819.0,237.0,40.7
1740,CTA aorto - cervikalna,333.0,563.0,230.0,69.1
1715,CT trebušnih organov brez KS,839.0,1060.0,221.0,26.3
1743,CTA možganskih arterij,232.0,452.0,220.0,94.8
1067P,Nevrološki pregled otroka - prvi,1633.0,1845.0,212.0,13.0
1770,MR roke,128.0,335.0,207.0,161.7
2181,Druge operacije obnosnih votlin v splošni anesteziji,211.0,416.0,205.0,97.2
2271,UZ skrotuma,870.0,1075.0,205.0,23.6
1852,RTG prstov rok,172.0,374.0,202.0,117.4
1769,MR zapestja,242.0,440.0,198.0,81.8
1301,PTCA (koronarna angiografija),1716.0,1912.0,196.0,11.4
1944,UZ dojk enostransko,200.0,395.0,195.0,97.5
1732,CTA torakalne aorte,231.0,415.0,184.0,79.7
2407,Druge ortopedske operacije gležnja in stopala,898.0,1080.0,182.0,20.3
1397,"Kolposkopija, vaginoskopija",984.0,1166.0,182.0,18.5
1611,Operacija discus hernie,376.0,545.0,169.0,44.9
1991,UZ mehkih tkiv,2602.0,2769.0,167.0,6.4
1741,CTA pelvičnih a. in a. spodnjih okončin,363.0,529.0,166.0,45.7
2175,Posegi na žrelnici in bobniču pri otrocih v splošni anesteziji,1047.0,1209.0,162.0,15.5
1795,MR medenice,542.0,703.0,161.0,29.7
2160,Lažji posegi v otorinolaringologiji v lokalni anesteziji,249.0,404.0,155.0,62.2
1742,CTA torakalne in abdominalne aorte,152.0,302.0,150.0,98.7
1776,MR skeleta brez KS - drugo,215.0,364.0,149.0,69.3
1053P,Diabetološki pregled - prvi,1615.0,1764.0,149.0,9.2
2182P,Ginekološki pregled (razen pregled nosečnic) na sekundarni ravni - prvi,2161.0,2310.0,149.0,6.9
2184P,Pregled ob neplodnosti - ženske - prvi,422.0,565.0,143.0,33.9
2173,Posegi na mandljih in žrelnici pri otrocih v splošni anesteziji,1172.0,1313.0,141.0,12.0
1799,MR trebušnih organov s KS,180.0,319.0,139.0,77.2
1241,Tonzilektomija/adenoidektomija,451.0,589.0,138.0,30.6
1674,CT obnosnih votlin brez KS,380.0,515.0,135.0,35.5
2351,MR male medenice,285.0,418.0,133.0,46.7
1747,CTA srca - prikaz kalcinacij,50.0,181.0,131.0,262.0
1471,Elektroencefalografija (EEG),594.0,719.0,125.0,21.0
1986,UZ kolka dojenčkov,773.0,893.0,120.0,15.5
1767,MR komolca,151.0,265.0,114.0,75.5
2108,Operacija hrbtenice - dekompresija,765.0,879.0,114.0,14.9
1781,MR lumbosakralne hrbtenice s KS,155.0,268.0,113.0,72.9
2373,Drugi posegi na bobniču in srednjem ušesu,293.0,401.0,108.0,36.9
2183P,Pregled ob neplodnosti - moški - prvi,194.0,300.0,106.0,54.6
1777,MR SIS (sakroliakalnega sklepa) brez KS,236.0,342.0,106.0,44.9
1733,CTA abdominalne aorte,197.0,299.0,102.0,51.8
1792,MR trebušnih organov,614.0,716.0,102.0,16.6
2329,PTA (perkutana transluminalna angioplastika),188.0,286.0,98.0,52.1
