vzs,naziv,datum,razlika,z,z_flag,if_flag,konsenz
1010P,Dermatološki pregled - prvi,2024-04-11,181.0,0.262,False,False,False
1010P,Dermatološki pregled - prvi,2024-04-18,303.0,0.495,False,False,False
1010P,Dermatološki pregled - prvi,2024-04-25,242.0,0.378,False,False,False
1010P,Dermatološki pregled - prvi,2024-05-03,337.0,0.56,False,False,False
1010P,Dermatološki pregled - prvi,2024-05-09,90.0,0.088,False,False,False
1010P,Dermatološki pregled - prvi,2024-05-16,-44.0,-0.168,False,False,False
1010P,Dermatološki pregled - prvi,2024-05-23,41.0,-0.006,False,False,False
1010P,Dermatološki pregled - prvi,2024-05-30,126.0,0.157,False,False,False
1010P,Dermatološki pregled - prvi,2024-06-06,-120.0,-0.313,False,False,False
1010P,Dermatološki pregled - prvi,2024-06-13,560.0,0.986,False,False,False
1010P,Dermatološki pregled - prvi,2024-06-20,76.0,0.061,False,False,False
1010P,Dermatološki pregled - prvi,2024-06-27,431.0,0.739,False,False,False
1010P,Dermatološki pregled - prvi,2024-07-04,304.0,0.497,False,False,False
1010P,Dermatološki pregled - prvi,2024-07-11,247.0,0.388,False,False,False
1010P,Dermatološki pregled - prvi,2024-07-18,259.0,0.411,False,False,False
1010P,Dermatološki pregled - prvi,2024-07-25,74.0,0.057,False,False,False
1010P,Dermatološki pregled - prvi,2024-08-01,52.0,0.015,False,False,False
1010P,Dermatološki pregled - prvi,2024-08-08,110.0,0.126,False,False,False
1010P,Dermatološki pregled - prvi,2024-08-16,203.0,0.304,False,False,False
1010P,Dermatološki pregled - prvi,2024-08-22,60.0,0.031,False,False,False
1010P,Dermatološki pregled - prvi,2024-08-29,179.0,0.258,False,False,False
1010P,Dermatološki pregled - prvi,2024-09-05,126.0,0.157,False,False,False
1010P,Dermatološki pregled - prvi,2024-09-12,184.0,0.267,False,False,False
1010P,Dermatološki pregled - prvi,2024-09-19,67.0,0.044,False,False,False
1010P,Dermatološki pregled - prvi,2024-09-26,461.0,0.797,False,False,False
1010P,Dermatološki pregled - prvi,2024-10-03,428.0,0.734,False,False,False
1010P,Dermatološki pregled - prvi,2024-10-10,-581.0,-1.194,False,False,False
1010P,Dermatološki pregled - prvi,2024-10-17,-619.0,-1.267,False,True,False
1010P,Dermatološki pregled - prvi,2024-10-24,551.0,0.969,False,False,False
1010P,Dermatološki pregled - prvi,2024-10-31,45.0,0.002,False,False,False
1010P,Dermatološki pregled - prvi,2024-11-07,-126.0,-0.325,False,False,False
1010P,Dermatološki pregled - prvi,2024-11-14,13.0,-0.059,False,False,False
1010P,Dermatološki pregled - prvi,2024-11-21,-120.0,-0.313,False,False,False
1010P,Dermatološki pregled - prvi,2024-11-28,177.0,0.254,False,False,False
1010P,Dermatološki pregled - prvi,2024-12-05,-114.0,-0.302,False,False,False
1010P,Dermatološki pregled - prvi,2024-12-12,-79.0,-0.235,False,False,False
1010P,Dermatološki pregled - prvi,2024-12-19,-96.0,-0.268,False,False,False
1010P,Dermatološki pregled - prvi,2025-01-08,-48.0,-0.176,False,False,False
1010P,Dermatološki pregled - prvi,2025-01-15,223.0,0.342,False,False,False
1010P,Dermatološki pregled - prvi,2025-01-22,-62.0,-0.203,False,False,False
1010P,Dermatološki pregled - prvi,2025-01-29,-538.0,-1.112,False,False,False
1010P,Dermatološki pregled - prvi,2025-02-05,-168.0,-0.405,False,False,False
1010P,Dermatološki pregled - prvi,2025-02-12,169.0,0.239,False,False,False
1010P,Dermatološki pregled - prvi,2025-02-19,-143.0,-0.357,False,False,False
1010P,Dermatološki pregled - prvi,2025-02-26,303.0,0.495,False,False,False
1010P,Dermatološki pregled - prvi,2025-03-05,95.0,0.097,False,False,False
1010P,Dermatološki pregled - prvi,2025-03-12,289.0,0.468,False,False,False
1010P,Dermatološki pregled - prvi,2025-03-19,48.0,0.008,False,False,False
1010P,Dermatološki pregled - prvi,2025-03-26,0.0,-0.084,False,False,False
1010P,Dermatološki pregled - prvi,2025-04-02,-90.0,-0.256,False,False,False
1010P,Dermatološki pregled - prvi,2025-04-09,165.0,0.231,False,False,False
1010P,Dermatološki pregled - prvi,2025-04-16,436.0,0.749,False,False,False
1010P,Dermatološki pregled - prvi,2025-04-23,199.0,0.296,False,False,False
