vzs,naziv,horizont,model,izvor,cilj,y_true,y_pred,opazovan,mase_scale
1010P,Dermatološki pregled - prvi,1,naivni,2025-03-26,2025-04-02,28451.0,28541.0,True,194.35294117647058
1010P,Dermatološki pregled - prvi,1,lin,2025-03-26,2025-04-02,28451.0,29387.86877828055,True,194.35294117647058
1010P,Dermatološki pregled - prvi,1,ar1,2025-03-26,2025-04-02,28451.0,28551.99678177334,True,194.35294117647058
1010P,Dermatološki pregled - prvi,1,naivni,2025-04-02,2025-04-09,28616.0,28451.0,True,192.34615384615384
1010P,Dermatološki pregled - prvi,1,lin,2025-04-02,2025-04-09,28616.0,29387.809869375924,True,192.34615384615384
1010P,Dermatološki pregled - prvi,1,ar1,2025-04-02,2025-04-09,28616.0,28465.118428131966,True,192.34615384615384
1010P,Dermatološki pregled - prvi,1,naivni,2025-04-09,2025-04-16,29052.0,28616.0,True,191.83018867924528
1010P,Dermatološki pregled - prvi,1,lin,2025-04-09,2025-04-16,29052.0,29399.322851153032,True,191.83018867924528
1010P,Dermatološki pregled - prvi,1,ar1,2025-04-09,2025-04-16,29052.0,28623.17033273299,True,191.83018867924528
1010P,Dermatološki pregled - prvi,1,naivni,2025-04-16,2025-04-23,29251.0,29052.0,True,196.35185185185185
1010P,Dermatološki pregled - prvi,1,lin,2025-04-16,2025-04-23,29251.0,29441.187878787885,True,196.35185185185185
1010P,Dermatološki pregled - prvi,1,ar1,2025-04-16,2025-04-23,29251.0,29044.943647665048,True,196.35185185185185
1010P,Dermatološki pregled - prvi,1,naivni,2025-04-23,2025-04-30,29477.0,29251.0,True,196.4
1010P,Dermatološki pregled - prvi,1,lin,2025-04-23,2025-04-30,29477.0,29494.051298701306,True,196.4
1010P,Dermatološki pregled - prvi,1,ar1,2025-04-23,2025-04-30,29477.0,29240.535880478506,True,196.4
1010P,Dermatološki pregled - prvi,1,naivni,2025-04-30,2025-05-07,29399.0,29477.0,True,196.92857142857142
1010P,Dermatološki pregled - prvi,1,lin,2025-04-30,2025-05-07,29399.0,29558.9454887218,True,196.92857142857142
1010P,Dermatološki pregled - prvi,1,ar1,2025-04-30,2025-05-07,29399.0,29464.71829327214,True,196.92857142857142
1010P,Dermatološki pregled - prvi,1,naivni,2025-05-07,2025-05-14,29670.0,29399.0,True,194.8421052631579
1010P,Dermatološki pregled - prvi,1,lin,2025-05-07,2025-05-14,29670.0,29613.97459165156,True,194.8421052631579
1010P,Dermatološki pregled - prvi,1,ar1,2025-05-07,2025-05-14,29670.0,29387.80670802024,True,194.8421052631579
1010P,Dermatološki pregled - prvi,1,naivni,2025-05-14,2025-05-21,29970.0,29670.0,True,196.1551724137931
1010P,Dermatološki pregled - prvi,1,lin,2025-05-14,2025-05-21,29970.0,29683.552308591476,True,196.1551724137931
1010P,Dermatološki pregled - prvi,1,ar1,2025-05-14,2025-05-21,29970.0,29657.632215631627,True,196.1551724137931
1010P,Dermatološki pregled - prvi,1,naivni,2025-05-21,2025-05-28,30268.0,29970.0,True,197.91525423728814
1010P,Dermatološki pregled - prvi,1,lin,2025-05-21,2025-05-28,30268.0,29768.5231638418,True,197.91525423728814
1010P,Dermatološki pregled - prvi,1,ar1,2025-05-21,2025-05-28,30268.0,29960.16040368205,True,197.91525423728814
1010P,Dermatološki pregled - prvi,1,naivni,2025-05-28,2025-06-04,30363.0,30268.0,True,199.58333333333334
1010P,Dermatološki pregled - prvi,1,lin,2025-05-28,2025-06-04,30363.0,29867.61967213115,True,199.58333333333334
1010P,Dermatološki pregled - prvi,1,ar1,2025-05-28,2025-06-04,30363.0,30264.77606698704,True,199.58333333333334
1010P,Dermatološki pregled - prvi,1,naivni,2025-06-04,2025-06-11,27205.0,30363.0,True,197.86885245901638
1010P,Dermatološki pregled - prvi,1,lin,2025-06-04,2025-06-11,27205.0,29966.71602326812,True,197.86885245901638
1010P,Dermatološki pregled - prvi,1,ar1,2025-06-04,2025-06-11,27205.0,30362.828621830453,True,197.86885245901638
1010P,Dermatološki pregled - prvi,1,naivni,2025-06-11,2025-06-18,30935.0,27205.0,True,245.61290322580646
1010P,Dermatološki pregled - prvi,1,lin,2025-06-11,2025-06-18,30935.0,29859.266257040454,True,245.61290322580646
1010P,Dermatološki pregled - prvi,1,ar1,2025-06-11,2025-06-18,30935.0,27314.770298485706,True,245.61290322580646
1010P,Dermatološki pregled - prvi,1,naivni,2025-06-18,2025-06-25,31302.5,30935.0,False,300.92063492063494
1010P,Dermatološki pregled - prvi,1,lin,2025-06-18,2025-06-25,31302.5,29990.287202380947,False,300.92063492063494
1010P,Dermatološki pregled - prvi,1,ar1,2025-06-18,2025-06-25,31302.5,30666.2035463102,False,300.92063492063494
1010P,Dermatološki pregled - prvi,1,naivni,2025-06-25,2025-07-02,31670.0,31302.5,True,301.9609375
1010P,Dermatološki pregled - prvi,1,lin,2025-06-25,2025-07-02,31670.0,30136.377884615395,True,301.9609375
1010P,Dermatološki pregled - prvi,1,ar1,2025-06-25,2025-07-02,31670.0,31049.156165207285,True,301.9609375
1010P,Dermatološki pregled - prvi,1,naivni,2025-07-02,2025-07-09,31780.0,31670.0,True,302.96923076923076
1010P,Dermatološki pregled - prvi,1,lin,2025-07-02,2025-07-09,31780.0,30296.499067599074,True,302.96923076923076
1010P,Dermatološki pregled - prvi,1,ar1,2025-07-02,2025-07-09,31780.0,31441.052102670506,True,302.96923076923076
1010P,Dermatološki pregled - prvi,1,naivni,2025-07-09,2025-07-16,31700.0,31780.0,True,300.04545454545456
1010P,Dermatološki pregled - prvi,1,lin,2025-07-09,2025-07-16,31700.0,30454.321573948426,True,300.04545454545456
1010P,Dermatološki pregled - prvi,1,ar1,2025-07-09,2025-07-16,31700.0,31575.76467269325,True,300.04545454545456
1010P,Dermatološki pregled - prvi,1,naivni,2025-07-16,2025-07-23,31383.0,31700.0,True,296.76119402985074
1010P,Dermatološki pregled - prvi,1,lin,2025-07-16,2025-07-23,31383.0,30598.805750658456,True,296.76119402985074
1010P,Dermatološki pregled - prvi,1,ar1,2025-07-16,2025-07-23,31383.0,31514.029767344746,True,296.76119402985074
1010P,Dermatološki pregled - prvi,1,naivni,2025-07-23,2025-07-30,31320.0,31383.0,True,297.05882352941177
1010P,Dermatološki pregled - prvi,1,lin,2025-07-23,2025-07-30,31320.0,30717.06820119352,True,297.05882352941177
