vzs_sifra,vzs_naziv,od,do,tednov,najv_odklon,povpr_raven,lokalna_mediana,manjkajoc_obseg
1264,Drugi oralni operativni posegi,2024-07-25,2024-08-22,5,-0.765,588,1862,1274
1852,RTG prstov rok,2026-01-07,2026-01-14,2,-0.52,194,392,198
1852,RTG prstov rok,2025-04-09,2025-04-16,2,-0.436,280,440,160
1852,RTG prstov rok,2026-04-08,2026-05-06,4,-0.418,216,344,128
1400,Odvzem tkivnega vzorca za histopatološko diag,2025-06-11,2025-06-18,2,-0.335,140,200,60
1854,RTG zapestja,2026-01-07,2026-01-14,2,-0.345,95,141,46
1303,Transkateterska embolizacija krvnih žil,2024-08-16,2024-09-05,4,-0.464,52,97,45
1292,Tea ACI,2026-04-15,2026-05-06,3,-0.298,66,94,28
1164,Druge nevrokirurške operacije,2026-05-20,2026-06-17,4,-0.349,55,80,25
2161,Posegi na ušesu v lokalni anesteziji,2024-06-20,2024-06-27,2,-0.318,44,63,19
2161,Posegi na ušesu v lokalni anesteziji,2024-04-18,2024-04-25,2,-0.322,42,60,18
1042P,Pregled ob odvajanju odvisnosti od prepovedan,2026-05-06,2026-05-20,3,-0.923,9,26,17
1691,CT kolena,2025-11-26,2025-12-03,2,-0.354,32,48,16
1857,RTG komolca,2026-05-06,2026-05-13,2,-0.281,41,57,16
2176,Operacije malignih tumorjev v otorinolaringol,2024-05-23,2024-06-06,3,-0.875,9,24,15
1691,CT kolena,2024-10-10,2024-10-17,2,-0.368,25,38,13
1882,RTG sinusov,2026-07-08,2026-07-15,2,-0.455,18,31,13
1875,RTG trtice,2024-11-28,2024-12-05,2,-0.619,9,21,12
1684,CT torakalne hrbtenice,2024-11-07,2024-11-14,2,-0.467,18,29,11
1687,CT skeleta medenice,2026-05-20,2026-05-27,2,-0.367,19,30,11
1688,CT kolkov,2024-08-16,2024-08-22,2,-0.375,21,32,11
2072,Kriokauterizacija ali krioterapija (postopek ,2024-10-10,2024-10-17,2,-0.52,15,25,10
1707,CT artrografija rame s KS,2024-09-26,2024-10-10,3,-0.571,11,21,10
1215,Miringotomija,2024-04-04,2024-04-11,2,-0.4,18,28,10
2176,Operacije malignih tumorjev v otorinolaringol,2026-05-13,2026-05-27,3,-0.684,10,19,9
1881,RTG glave,2024-04-04,2024-04-18,3,-0.643,5,14,9
1608,Endoproteza gležnja,2025-04-02,2025-04-16,3,-0.258,23,31,8
2356,CT zapestja,2024-10-24,2024-10-31,2,-0.308,18,26,8
1875,RTG trtice,2026-01-07,2026-01-14,2,-0.35,14,21,7
1822,MRA pelvičnih a. In arterij spodnjih udov,2025-04-30,2025-05-14,3,-0.571,7,14,7
2176,Operacije malignih tumorjev v otorinolaringol,2025-09-03,2025-09-10,2,-0.364,15,22,7
1684,CT torakalne hrbtenice,2025-04-02,2025-04-09,2,-0.368,12,19,7
1789,MR skeleta s KS - drugo,2024-05-09,2024-05-16,2,-0.364,15,22,7
2357,CT komolca,2025-11-12,2025-11-19,2,-0.7,4,10,6
1679,CT obnosnih votlin s KS,2025-03-12,2025-03-19,2,-0.5,9,15,6
1867,RTG stegnenice,2025-03-26,2025-04-02,2,-0.375,10,16,6
2357,CT komolca,2025-03-19,2025-03-26,2,-0.889,3,9,6
1880,RTG prsnice (sternuma),2024-11-07,2024-11-21,3,-0.357,10,16,6
2348,MR celotne hrbtenice,2024-07-25,2024-08-01,2,-0.333,12,18,6
1887,RTG spodnje čeljusti (mandibule),2024-10-24,2024-11-07,3,-0.6,5,10,5
1858,RTG nadlahti,2026-04-29,2026-05-06,2,-0.455,6,11,5
1876,RTG ključnice,2024-06-20,2024-07-11,4,-0.667,4,9,5
1858,RTG nadlahti,2025-08-06,2025-08-27,4,-0.75,3,8,5
1867,RTG stegnenice,2025-01-29,2025-02-12,3,-0.583,7,12,5
1867,RTG stegnenice,2025-12-03,2025-12-10,2,-0.462,8,13,5
1812,MRA ekstremiteti ( vsaka okončina posebej ) T,2025-06-11,2025-06-18,2,-0.857,2,7,5
2107,Vertebroplastika,2026-01-21,2026-01-28,2,-0.5,6,11,5
1889,RTG abdomna,2024-04-04,2024-04-11,2,-0.538,8,13,5
1446,Plastični poseg na ožilju,2025-02-12,2025-02-19,2,-0.455,6,11,5
1152,Operacija tumorja na hrbtenici,2025-01-22,2025-02-05,3,-0.333,10,15,5
1880,RTG prsnice (sternuma),2024-05-09,2024-05-16,2,-0.455,6,11,5
1887,RTG spodnje čeljusti (mandibule),2024-04-25,2024-05-09,3,-0.714,2,7,5
1739,CTA selektivne angiografije,2024-08-01,2024-08-16,3,-0.333,10,15,5
1822,MRA pelvičnih a. In arterij spodnjih udov,2025-12-03,2025-12-17,3,-0.4,10,15,5
