Kategorija napake,Testno leto,Učnih točk,Dejansko,Linearna,Grebenska,Polinomska,Izbrani model,Napoved,Napaka,Napaka (%)
Neskladnost elektronskih komponent,2017,4,245,171,164,171,Ridge,164,81,33.1
Neskladnost elektronskih komponent,2018,5,214,246,238,246,Linearna,246,-32,-15.0
Neskladnost elektronskih komponent,2019,6,232,255,250,255,Ridge,250,-18,-7.8
Neskladnost elektronskih komponent,2020,7,263,268,265,268,Ridge,265,-2,-0.8
Neskladnost elektronskih komponent,2021,8,313,289,286,289,Ridge,286,27,8.6
Neskladnost elektronskih komponent,2022,9,319,323,321,323,Linearna,323,-4,-1.3
Neskladnost elektronskih komponent,2023,10,407,346,344,346,Ridge,344,63,15.5
Neskladnost elektronskih komponent,2024,11,458,393,391,393,Linearna,393,65,14.2
Neskladnost enote za sprej,2017,4,73,76,70,76,Linearna,76,-3,-4.1
Neskladnost enote za sprej,2018,5,50,88,84,88,Linearna,88,-38,-76.0
Neskladnost enote za sprej,2019,6,42,76,74,76,Ridge,74,-32,-76.2
Neskladnost enote za sprej,2020,7,3,64,64,64,Ridge,64,-61,-2033.3
Neskladnost enote za sprej,2021,8,6,38,38,38,Linearna,38,-32,-533.3
Neskladnost enote za sprej,2022,9,1,23,23,23,Linearna,23,-22,-2200.0
Neskladnost enote za sprej,2023,10,26,11,12,11,Linearna,11,15,57.7
Neskladnost enote za sprej,2024,11,20,12,13,12,Ridge,13,7,35.0
Neskladnost hladilnega sistema,2017,4,14,32,28,32,Ridge,28,-14,-100.0
Neskladnost hladilnega sistema,2018,5,26,25,24,25,Ridge,24,2,7.7
Neskladnost hladilnega sistema,2019,6,25,29,29,29,Linearna,29,-4,-16.0
Neskladnost hladilnega sistema,2020,7,20,31,30,31,Linearna,31,-11,-55.0
Neskladnost hladilnega sistema,2021,8,9,29,29,29,Ridge,29,-20,-222.2
Neskladnost hladilnega sistema,2022,9,13,23,22,23,Linearna,23,-10,-76.9
Neskladnost hladilnega sistema,2023,10,26,20,20,20,Ridge,20,6,23.1
Neskladnost hladilnega sistema,2024,11,44,23,23,23,Linearna,23,21,47.7
Neskladnost mehanskih komponent,2017,4,128,156,147,157,Linearna,156,-28,-21.9
Neskladnost mehanskih komponent,2018,5,144,156,152,156,Ridge,152,-8,-5.6
Neskladnost mehanskih komponent,2019,6,150,165,162,165,Ridge,162,-12,-8.0
Neskladnost mehanskih komponent,2020,7,85,171,170,171,Ridge,170,-85,-100.0
Neskladnost mehanskih komponent,2021,8,81,142,141,142,Ridge,141,-60,-74.1
Neskladnost mehanskih komponent,2022,9,106,121,121,121,Ridge,121,-15,-14.2
Neskladnost mehanskih komponent,2023,10,119,117,117,117,Linearna,117,2,1.7
Neskladnost mehanskih komponent,2024,11,80,119,119,119,Linearna,119,-39,-48.8
Neskladnost optičnih komponent,2017,4,257,252,236,252,Ridge,236,21,8.2
Neskladnost optičnih komponent,2018,5,338,294,283,294,Linearna,294,44,13.0
Neskladnost optičnih komponent,2019,6,399,362,354,363,Linearna,362,37,9.3
Neskladnost optičnih komponent,2020,7,345,429,422,429,Polinomska,429,-84,-24.3
Neskladnost optičnih komponent,2021,8,480,436,432,436,Ridge,432,48,10.0
Neskladnost optičnih komponent,2022,9,572,498,494,498,Linearna,498,74,12.9
Neskladnost optičnih komponent,2023,10,583,573,570,573,Linearna,573,10,1.7
Neskladnost optičnih komponent,2024,11,637,626,623,626,Linearna,626,11,1.7
Ni tehnična napaka,2017,4,141,112,105,112,Ridge,105,36,25.5
Ni tehnična napaka,2018,5,151,152,146,152,Linearna,152,-1,-0.7
Ni tehnična napaka,2019,6,118,174,169,174,Linearna,174,-56,-47.5
Ni tehnična napaka,2020,7,44,164,162,164,Ridge,162,-118,-268.2
Ni tehnična napaka,2021,8,42,120,120,120,Ridge,120,-78,-185.7
Ni tehnična napaka,2022,9,38,92,92,92,Linearna,92,-54,-142.1
Ni tehnična napaka,2023,10,42,71,71,71,Linearna,71,-29,-69.0
Ni tehnična napaka,2024,11,33,59,59,59,Linearna,59,-26,-78.8
